"disposition","reps"
"MSC, NA, UTEP",1
"MSC, NY, OBI, SD, UTEP",1
"NA, MSC, UMO",1
"NA, MSC, UMO, ID",1
"NA, NO, NY",1
"NA, NY, SD, UTEP",1
"NA. NY, UCR",1
"NA, NY, UCR, MSC",1
"NA, NY, UMO",1
"NA, SD, UTEP",1
"NA, UCR, WVA",1
"NMC, NY, TEX, UNM, ASU, West Tex",1
"NNHP2",1
"NO, BRY",1
"NO, NA",1
"NO, NA, NY",1
"NO, UTEP",1
"NSW, NY, OSC, UTEP",1
"NY",1
"NY, OSC, UTEP",1
"NY, OS, WVA",1
"NY, SD, UTEP",1
"NY, UCR, MSC",1
"NY, UMO, MSC",1
"NY, UMO, UTEP",1
"ON LOAN",1
"OSAC retention 2017",1
"Pennellia tricornuta",1
"PEUFR, UB",1
"photo of speciimen at SP",1
"PRESETN",1
"QAP-6452",1
"ranger of Santan Mountain Region",1
"REPOSITATED AT NMNH",1
"RSA",1
"Santan Mountain Regional Park ra",1
"SD, DES, ARIZ",1
"SD, UNM",1
"SD,UTEP",1
"SD, UTEP, WTS",1
"SPECIMEN FOUND 2010",1
"Sutherland-OMA",1
"TAES",1
"TEX, UTEP",1
"UB,HUEG,HUFSJ,HUEFS,",1
"UB,HUEG,HUFSJ,HUEFS,ASU",1
"UCR",1
"UCR, NA, NY",1
"UCR, UTEP",1
"UTEP, ARIZ, SD",1
"UTEP, BRY",1
"UTEP, CS, ARIZ",1
"UTEP, NO",1
"UT, UTEP",1
"voucher at DES",1
"voucher at F",1
"voucher at UNM",1
"WIRC retention 2017",1
"Yc, ASU",1
"YC,ASU",1
"YC, DBG",1
