"index.typestatus","reps"
"voucher of aulacopleura koninckii",23
"voucher of clavilithes parisiensis",23
"voucher of semaprochilodus taeniurus",23
"genetic voucher of peromyscus leucopus",22
"paratype of anolis dolichocephalus sarmenticola",22
"paratype of anolis roquet caracoli",22
"paratype of ansonia longidigita longidigita",22
"paratype of asterophrys stictogaster",22
"paratype of diploglossus curtissi diastatus",22
"paratype of eleutherodactylus haitianus",22
"paratype of epicauta fortis",22
"paratype of leiolopisma pumilus",22
"paratype of lygodactylus picturatus mombasicus",22
"paratype of pheidole nigricula",22
"paratype of pheidole simonsi",22
"paratype of tachys subfumatus",22
"paratype of wagneriana taboga",22
"syntype of aphaenogaster geei",22
"syntype of myrmica brevinodis var. brevispinosa",22
"syntype; syntype",22
"topotype of chirindea ewerbecki ewerbecki",22
"type of necrocydnus amyzonus",22
"voucher of aulacopleura konincki",22
"voucher of gogia longidactylus",22
"voucher of nordophiceras pilatum",22
"voucher of ribeiria apusoides",22
"additional material of oonops castellus",21
"figured of ceratopogon",21
"figured of naucoris rottensis (von schlechtendal, 1899)",21
"figured of soevenia heydeni (deichm�ller, 1881)",21
"genetic voucher of craterostigmus crabilli",21
"paratype of anolis distichus vinosus",21
"paratype of cophixalus exiguus",21
"paratype of eleutherodactylus pinarensis",21
"paratype of eleutherodactylus wetmorei ceraemerus",21
"paratype of eremias brevirostris fieldi",21
"paratype of geodipsas laphystia",21
"paratype of kaloula rigida",21
"paratype of leiocephalus carinatus granti",21
"paratype of mangora craigae",21
"paratype of nectophrynoides cryptus",21
"paratype of ophiomyxa tumida",21
"paratype of rana yakani",21
"pl-paratype",21
"type of geralophus repositus",21
"voucher of <a href=\http://arctos.database.museum/name/microtus pennsylvanicus\>microtus pennsylvanicus</a>, page 14 in <a href=\http://arctos.database.museum/publication/10007811\>smartt 1977</a>",21
"voucher of atrypa reticularis",21
"voucher of isotelus gigas",21
"voucher of ophidion marginatum",21
"voucher of placobdella ornata",21
"basis of illustration of <a href=\http://arctos.database.museum/name/mammuthus\>mammuthus</a> in <a href=\http://arctos.database.museum/publication/10006667\>guthrie 2004</a>",20
"paralectotype?",20
"paratype of amphiophiura metabula",20
"paratype of anolis marmoratus caryae",20
"paratype of anthracus leyteensis",20
"paratype of atelopus spumarius barbotini",20
"paratype of bufo parkeri",20
"paratype of eleutherodactylus schwartzi",20
"paratype of emoia brongersmai",20
"paratype of gogia palmeri",20
"paratype of hemisus olivaceus",20
"paratype of liometopum miocenicum",20
"paratype of mangora amchickeringi",20
"paratype of ooeidozyga semipalmata",20
"paratype of pheidole demeter",20
"paratype of pronous intus",20
"paratype of unidentified",20
"paratype of xenopus vestitus",20
"plastoholotype. published 1922.",20
"syntype of alokistocarella albansana",20
"syntype of anolis cinereus",20
"syntype of anolis luciae",20
"syntype of pheidole caribbaea",20
"topotype of chamaeleo tempeli",20
"topotype of proechimys centralis var. chiriquinus",20
"voucher of <a href=\http://arctos.database.museum/name/crotalus\>crotalus sp.</a> sp., page 38 in <a href=\http://arctos.database.museum/publication/10007633\>holman 1970</a>",20
"voucher of anatrachyntis badia",20
"voucher of ceratiocaris papilio",20
"voucher of comanthus timorensis",20
"voucher of gavia adamsii",20
"voucher of iranites transcaucasius",20
"voucher of melonites multiporus",20
"voucher of regalecus glesne",20
"paratype of amphisbaena pericensis",19
"paratype of anolis cochranae",19
"paratype of anolis olssoni domingonis",19
"paratype of anolis patricius",19
"paratype of anolis ricordii leberi",19
"paratype of camponotus navigator",19
"paratype of eleutherodactylus cochranae| additional material of eleutherodactylus cochranae",19
"paratype of eleutherodactylus coqui",19
"paratype of emoia mivarti fuscolineata",19
"paratype of epicauta phoenix",19
"paratype of leiocephalus hodsdoni",19
"paratype of leptodactylus curtus",19
"paratype of lithobius tuobukus",19
"paratype of melanoseps ater misukuensis",19
"paratype of melanoseps ater rondoensis| additional material of melanoseps ater rondoensis",19
"paratype of ophiernus adspersus",19
"paratype of opisthosiphon acklinsensis",19
"paratype of pheidole cursor",19
"paratype of photostomias goodyeari",19
"paratype of phrynomantis stictogaster",19
"paratype of phrynosoma orbiculare orientale",19
"paratype of putorius (lutreola) lutensis",19
"paratype of sapromyza disjuncta",19
"paratype of sphaerodactylus copei enodurus",19
"paratype of tabanus kompi",19
"paratype of tachys masculus",19
"part of holotype",19
"syntype of archaster mirabilis",19
"syntype of hypolycaena festata",19
"syntype of syrphus rectus",19
"type of geralophus antiquarius",19
"type of procrophius communis",19
"type of stenovelia nigra",19
"voucher of <a href=\http://arctos.database.museum/name/equus conversidens\>equus conversidens</a>, page 50 in <a href=\http://arctos.database.museum/publication/10004547\>harris and porter 1980</a>",19
"voucher of <a href=\http://arctos.database.museum/name/equus conversidens\>equus conversidens</a>, page 51 in <a href=\http://arctos.database.museum/publication/10004547\>harris and porter 1980</a>",19
"voucher of bembidion nigropiceum",19
"voucher of comactinia meridionalis meridionalis| voucher of comactinia echinoptera",19
"voucher of strenuella strenua",19
"additional material of missisquoia typicalis",18
"basis of illustration of <a href=\http://arctos.database.museum/name/alces\>alces</a> in <a href=\http://arctos.database.museum/publication/10006666\>mann et al. 2013</a>",18
"ment.",18
"paratype of anolis cristatellus wileyae",18
"paratype of cnemaspis africanus elgonensis",18
"paratype of costatoblastus sappingtonensis",18
"paratype of crotaphopeltis braestrupi",18
"paratype of eleutherodactylus albipes",18
"paratype of eustala longembola",18
"paratype of koryschisma elegans| voucher of koryschisma elegans",18
"paratype of lasius clavigeroides",18
"paratype of leiocephalus personatus actites",18
"paratype of leiocephalus stictigaster lucianus",18
"paratype of leiolepis triploida",18
"paratype of lepidodactylus magnus",18
"paratype of pheidole galba",18
"paratype of pheidole mirabilis",18
"paratype of pheidole polymorpha",18
"paratype of pheidole tobini",18
"paratype of platysaurus mitchelli",18
"paratype of praomys fumatus oweni",18
"paratype of sphaerodactylus exsul",18
"paratype of strongyloblastus breimeri",18
"paratype of tachys bolus",18
"paratype of trachymyrmex pomonae",18
"paratype of wagneriana maseta",18
"syntype of anolis cepedii gentilis",18
"syntype of pamphila alleni",18
"syntype of phormosoma sigsbei",18
"topotype of chamaeleo fulleborni",18
"voucher of calymene senaria",18
"voucher of lepophidium profundorum",18
"voucher of olenellus transitans| voucher of olenellus transitans",18
"voucher of ophidion robinsi",18
"voucher of rhophalithes noae",18
"hypotype and topotype",17
"neoparatype",17
"paralectotype of pachybrachys carolinensis| syntype? of pachybrachys carolinensis",17
"paratype of acrodipsas aurata",17
"paratype of ameiva birdorum",17
"paratype of anolis coelestinus pecuarius",17
"paratype of anolis hendersoni dolidrocephalus",17
"paratype of anolis lyra",17
"paratype of bufo dunni",17
"paratype of clavilithes subscalaris",17
"paratype of colostethus faciopunctulatus",17
"paratype of desmognathus abditus",17
"paratype of diolenus minotaurus",17
"paratype of eleutherodactylus grabhami",17
"paratype of epicauta liebecki",17
"paratype of epicauta occidentalis",17
"paratype of gymnodactylus pelagicus",17
"paratype of helmis thermarum",17
"paratype of leptodeira larcorum",17
"paratype of leptotyphlops tanae",17
"paratype of limnodynastes spenceri",17
"paratype of liopholidophis rhadinaea",17
"paratype of lutra degener",17
"paratype of mecistocephalus nigriceps",17
"paratype of montanablastus baldyensis",17
"paratype of otomys anchietae lacustris",17
"paratype of pheidole astur",17
"paratype of pheidole hispaniolae",17
"paratype of pheidole iracunda",17
"paratype of pheidole spathipilosa",17
"paratype of pheidole vestita",17
"paratype of pristimantis chimu",17
"paratype of protazteca elongata",17
"paratype of rhampholeon platyceps",17
"paratype of stenocercus latebrosus",17
"paratype of xenopus allofraseri",17
"plastoholotype. published 1912.",17
"syntype of anolis asper",17
"syntype of myrmica brevinodis discontinua",17
"syntype of myrmica brevinodis var. subalpina",17
"syntype of placenticeras whitfieldi",17
"voucher of <a href=\http://arctos.database.museum/name/neotoma pygmaea\>neotoma pygmaea</a>, page 565 in <a href=\http://arctos.database.museum/publication/10004544\>harris 1984</a>",17
"voucher of basiliella barrandi",17
"voucher of bovicornellum vermontense",17
"voucher of bullia quadrata",17
"voucher of ceraurus pleurexanthemus| voucher of ceraurus pleurexanthemus",17
"voucher of comatella nigra",17
"voucher of cryptoblastus? sp.a",17
"voucher of knemiceras syriacum",17
"voucher of metasiro americanus",17
"voucher of rhaphanocrinus subnodosus",17
"voucher of tanaoblastus haynesi",17
"voucher of triarthrus eatoni",17
"additional material of symphysurina (symphysuroides) minima",16
"figured specimen. published 2016.yamaguchi, goedert, and kiel. 2016. marine ostracodes from paleogene hydrocarbon seep deposits in washington state, usa and their ecological structure. geobios 49 (2016) 407–422.",16
"paralectotype of gastrotrypes caudatus| paratype of gastrotrypes caudatus",16
"paratype of anolis gaigei",16
"paratype of anolis marmoratus chrysops",16
"paratype of candoia carinata paulsoni| paratype of enygrus carinatus paulsoni",16
"paratype of cerion eximium williamsi",16
"paratype of chamaeleo hoehnelii altaeegonis",16
"paratype of chamaeleo jacksonii merumontanus",16
"paratype of dolopomyrmex pilatus",16
"paratype of gegeneophis ramaswamii",16
"paratype of gekko pumilis",16
"paratype of hyperolius ahli| additional material of hyperolius ahli",16
"paratype of indomyrma dasypyx",16
"paratype of leiocephalus carinatus armouri",16
"paratype of microtus chrotorrhinus ravus",16
"paratype of myotis abbotti nugax",16
"paratype of pheidole diabolus",16
"paratype of pheidole strigosa",16
"paratype of pheidole tristicula",16
"paratype of pheidole tschinkeli",16
"paratype of physalaemus coloradorum",16
"paratype of poanes batesi",16
"paratype of psammophis biseriatus tanganicus| additional material of psammophis biseriatus tanganicus",16
"paratype of pseudacris regilla cascadae",16
"paratype of psilopus nitidicauda",16
"paratype of sphaerodactylus elegantulus",16
"paratype of sphaerodactylus notatus atactus",16
"paratype of tanaoblastus allanensis",16
"paratype of totiglobus nimius",16
"plastoparalectotype",16
"syntype of ithomia drogheda",16
"type of leptobrochus luteus",16
"type of mesobrochus imbecillus",16
"voucher of clavilithes scalaris",16
"voucher of dithyrocaris paradoxides",16
"voucher of equus niobrarensis, page 52 in <a href=\http://arctos.database.museum/publication/10004547\>harris and porter 1980</a>",16
"voucher of euthriofusus burdigalensis",16
"voucher of homarus americanus",16
"voucher of liparis fabricii",16
"voucher of lovenechinus missouriensis",16
"basis of illustration of <a href=\http://arctos.database.museum/name/insecta\>insecta</a>, page 3 in <a href=\http://arctos.database.museum/publication/10006415\>grimaldi and triplehorn 2008</a>",15
"genetic voucher of amnirana albolabris",15
"genetic voucher of ethobunus",15
"genetic voucher of lasius niger",15
"paratype of arnautoceltites teicherti",15
"paratype of bombylius fraudulentus",15
"paratype of conus proteus",15
"paratype of cryptomys hottentotus occlusus",15
"paratype of eleutherodactylus talamancae",15
"paratype of erethizon dorsatus picinus",15
"paratype of gekko vittatus",15
"paratype of glyptotrophia spinosa",15
"paratype of lygosoma lobulus",15
"paratype of pheidole allarmata",15
"paratype of pheidole bellatrix",15
"paratype of phyllobates flotator",15
"paratype of prosymna meleagris laurenti",15
"paratype of pseudemys decorata",15
"paratype of sceloporus poinsetti",15
"paratype of sphaerodactylus corticola soter",15
"paratype of tropidophis caymanensis schwartzi",15
"paratype of xyloplax turnerae",15
"plastocotype",15
"syntype of azteca bequaerti",15
"syntype of camponotus macilentus sapphirinus",15
"syntype of oreohelix strigosa var. multicostata",15
"type of sibynes whitneyi",15
"voucher of <a href=\http://arctos.database.museum/name/neotoma findleyi\>neotoma findleyi</a>, page 563 in <a href=\http://arctos.database.museum/publication/10004544\>harris 1984</a>",15
"voucher of bullia marylandica",15
"voucher of burmeisteria accraensis",15
"voucher of lingulepis vermontensis",15
"voucher of liparis gibbus",15
"voucher of microstoma microstoma",15
"voucher of pachytriton inexpectatus",15
"voucher of plagioscion squamosissimus",15
"voucher of xenoceltites spencei",15
"additional material of eleutherodactylus intermedius| paratype of eleutherodactylus intermedius",14
"additional material of formica gnava",14
"additional material of kransia subcordiformis",14
"additional material of maeota setastrobilaris",14
"additional material of mastophora cornigera",14
"additional material of oonops pallidulus",14
"additional material of pagophila eburnea",14
"additional material of tenagodus modestus",14
"additional material of teredo furcifera",14
"allotype",14
"figured of meekoceras gracilitatus",14
"figured of plecia",14
"figured specimen. published 2003.goedert, j. l., et al. 2003. the late eocene \whiskey creek\ methane-seep deposit (western washington state). facies, 48:224-229.",14
"holotype; holotype; holotype; holotype",14
"holotype (part)",14
"paratype of agama agama kaimosae| additional material of agama agama kaimosae",14
"paratype of ameiva chrysolaema defensor",14
"paratype of anolis huilae",14
"paratype of anolis olssoni alienus",14
"paratype of anolis ricordii subsolanus",14
"paratype of aphaenogaster mayri",14
"paratype of arvicola terraenovae",14
"paratype of chamaeleo incornutus",14
"paratype of chrysometa craigae",14
"paratype of chrysops fulvistigma dorsopuncta",14
"paratype of copeoglossum aurae",14
"paratype of draco jareckii",14
"paratype of drosophila hydei",14
"paratype of epicauta brunnea",14
"paratype of eustala minima",14
"paratype of gogia hobbsi",14
"paratype of hyla decipiens branneri",14
"paratype of hyperolius parkeri",14
"paratype of lasius fallax",14
"paratype of latrodectus rhodesiensis",14
"paratype of leptothorax josephi",14
"paratype of litoria timida",14
"paratype of pheidole trinitatis",14
"paratype of phragmophora schnuri",14
"paratype of phyllobates sylvatica",14
"paratype of riopa afer afer",14
"paratype of steatomys pratensis nyasae",14
"paratype of tachys parapictus",14
"paratype of uromacer catesbyi",14
"paratype of zygodontomys seorsus",14
"syntype; lectotype",14
"syntype of formica cinerea cinerea var. altipetens| paralectotype of formica cinerea var. altipetens",14
"syntype of gymnocorymbus thayeri| paralectotype of gymnocorymbus thayeri",14
"syntype of psectrogaster amazonica",14
"syntypes",14
"topotype of chlorophis macrops",14
"type of mesobrochus lethaeus",14
"voucher of <a href=\http://arctos.database.museum/name/microtus pennsylvanicus\>microtus pennsylvanicus</a>, page 7 in <a href=\http://arctos.database.museum/publication/10007811\>smartt 1977</a>",14
"voucher of calymene senaria| voucher of calymene senaria",14
"voucher of capillaster multiradiatus",14
