"typeStatus","reps"
"Paratype of Hemidactylus persimilis",24
"Paratype of Hyla wilderi",24
"Paratype of Pheidole scolioceps",24
"Paratype of Pheidole texticeps",24
"Paratype of Schoutedenella xenodactyloides nkukae",24
"Paratype of Sphaerodactylus brevirostris",24
"Topotype of Strongylopus fasciatus fulleborni",24
"Voucher of Wiwaxia corrugata",24
"Additional Material of Parabolinella triarthroides",23
"hyptoype",23
"Isotype",23
"Paratype of Anolis rupinae",23
"Paratype of Boulengerula taitanus| Additional Material of Boulengerula taitanus",23
"Paratype of Draco biaro",23
"Paratype of Eleutherodactylus turquinensis",23
"Paratype of Emoia cyanura",23
"Paratype of Emoia pseudopallidiceps",23
"Paratype of Orophocrinus macurdai",23
"Paratype of Peromyscus leucopus ammodytes",23
"Paratype of Pheidole perpilosa",23
"Paratype of Praomys tullbergi melanotus",23
"Paratype of Tipula carpenteri",23
"Paratype of Tropidophorus berdmorei laotus",23
"Paratype. Published 1926.",23
"Type of Nysius stratus",23
"Voucher of Aulacopleura koninckii",23
"Voucher of Clavilithes parisiensis",23
"Voucher of Semaprochilodus taeniurus",23
"Genetic Voucher of Peromyscus leucopus",22
"holotype; holotype; holotype",22
"Paratype of Anolis dolichocephalus sarmenticola",22
"Paratype of Anolis roquet caracoli",22
"Paratype of Ansonia longidigita longidigita",22
"Paratype of Asterophrys stictogaster",22
"Paratype of Diploglossus curtissi diastatus",22
"Paratype of Eleutherodactylus haitianus",22
"Paratype of Epicauta fortis",22
"Paratype of Leiolopisma pumilus",22
"Paratype of Lygodactylus picturatus mombasicus",22
"Paratype of Pheidole nigricula",22
"Paratype of Pheidole simonsi",22
"Paratype of Tachys subfumatus",22
"Paratype of Wagneriana taboga",22
"Syntype of Aphaenogaster geei",22
"Syntype of Myrmica brevinodis var. brevispinosa",22
"syntype; syntype",22
"Topotype of Chirindea ewerbecki ewerbecki",22
"Type of Necrocydnus amyzonus",22
"Voucher of Aulacopleura konincki",22
"Voucher of Gogia longidactylus",22
"Voucher of Nordophiceras pilatum",22
"Voucher of Ribeiria apusoides",22
"Additional Material of Oonops castellus",21
"figured of Ceratopogon",21
"figured of Naucoris rottensis (von Schlechtendal, 1899)",21
"figured of Soevenia heydeni (Deichm�ller, 1881)",21
"Genetic Voucher of Craterostigmus crabilli",21
"Genotype",21
"Paratype of Anolis distichus vinosus",21
"Paratype of Cophixalus exiguus",21
"Paratype of Eleutherodactylus pinarensis",21
"Paratype of Eleutherodactylus wetmorei ceraemerus",21
"Paratype of Eremias brevirostris fieldi",21
"Paratype of Geodipsas laphystia",21
"Paratype of Kaloula rigida",21
"Paratype of Leiocephalus carinatus granti",21
"Paratype of Mangora craigae",21
"Paratype of Nectophrynoides cryptus",21
"Paratype of Ophiomyxa tumida",21
"Paratype of Rana yakani",21
"PL-paratype",21
"Type of Geralophus repositus",21
"voucher of <a href=\http://arctos.database.museum/name/Microtus pennsylvanicus\>Microtus pennsylvanicus</a>, page 14 in <a href=\http://arctos.database.museum/publication/10007811\>Smartt 1977</a>",21
"Voucher of Atrypa reticularis",21
"Voucher of Isotelus gigas",21
"Voucher of Ophidion marginatum",21
"Voucher of Placobdella ornata",21
"basis of illustration of <a href=\http://arctos.database.museum/name/Mammuthus\>Mammuthus</a> in <a href=\http://arctos.database.museum/publication/10006667\>Guthrie 2004</a>",20
"paralectotype?",20
"Paratype of Amphiophiura metabula",20
"Paratype of Anolis marmoratus caryae",20
"Paratype of Anthracus leyteensis",20
"Paratype of Atelopus spumarius barbotini",20
"Paratype of Bufo parkeri",20
"Paratype of Eleutherodactylus schwartzi",20
"Paratype of Emoia brongersmai",20
"Paratype of Gogia palmeri",20
"Paratype of Hemisus olivaceus",20
"Paratype of Liometopum miocenicum",20
"Paratype of Mangora amchickeringi",20
"Paratype of Ooeidozyga semipalmata",20
"Paratype of Pheidole demeter",20
"Paratype of Pronous intus",20
"Paratype of Unidentified",20
"Paratype of Xenopus vestitus",20
"Plastoholotype. Published 1922.",20
"Syntype of Alokistocarella albansana",20
"Syntype of Anolis cinereus",20
"Syntype of Anolis luciae",20
"Syntype of Pheidole caribbaea",20
"Topotype of Chamaeleo tempeli",20
"Topotype of Proechimys centralis var. chiriquinus",20
"voucher of <a href=\http://arctos.database.museum/name/Crotalus\>Crotalus sp.</a> sp., page 38 in <a href=\http://arctos.database.museum/publication/10007633\>Holman 1970</a>",20
"Voucher of Anatrachyntis badia",20
"Voucher of Ceratiocaris papilio",20
"Voucher of Comanthus timorensis",20
"Voucher of Gavia adamsii",20
"Voucher of Iranites transcaucasius",20
"Voucher of Melonites multiporus",20
"Voucher of Regalecus glesne",20
"LECTOTYPE",19
"Paratype of Amphisbaena pericensis",19
"Paratype of Anolis cochranae",19
"Paratype of Anolis olssoni domingonis",19
"Paratype of Anolis patricius",19
"Paratype of Anolis ricordii leberi",19
"Paratype of Camponotus navigator",19
"Paratype of Eleutherodactylus cochranae| Additional Material of Eleutherodactylus cochranae",19
"Paratype of Eleutherodactylus coqui",19
