"island","reps"
"Buldir Island",3
"Camotes Islands",3
"Cat",3
"Cave Cay",3
"Chamisso",3
"Champion",3
"Cooper Island",3
"Cormorant Rock",3
"Corregidor Island",3
"Current Island",3
"Dandu Island",3
"Darsena Island",3
"Daru Island",3
"Davidof Island",3
"Devils Island",3
"Dewees",3
"Disko",3
"Ekero",3
"Enderbury Atoll",3
"Entry Island",3
"Esquimo Island",3
"Fair Isle",3
"Fulaga Island",3
"Funafuti Island",3
"Fundo Island",3
"Ghizo Island",3
"Gibraltar Island",3
"Grassy Creek Cays",3
"Great Spoon",3
"Grindstone Island",3
"Grosse Island",3
"Haidana Island",3
"Hakluyt",3
"Hecla Island",3
"Hiva Oa",3
"Hog Cay",3
"Hondo",3
"Honolulu",3
"Hoste",3
"Hulhule Island",3
"Isabel",3
"Isles of Scilly",3
"Jamna Island",3
"Jekyll",3
"Kangaroo Island",3
"Kikkertavak Islands",3
"Little Barrier",3
"Loggerhead Key",3
"Lolland",3
"Los Testigos",3
"Lower Goose",3
"Lunging Island",3
"Maalhosmadulu Atoll",3
"Macaca",3
"Malaita Island",3
"Malaupaina Island",3
"Mannacks Island",3
"Mentawai Island",3
"Middleton Island",3
"Miraflores",3
"Naranjo Islands",3
"Natushima Island",3
"North Male Atoll",3
"Nosy Koba",3
"Nosy Sainte Marie",3
"Numfoor Island",3
"Okak Island",3
"Old Providence Island",3
"Orchid Island",3
"Patos",3
"Patos Island",3
"Pea Island",3
"Pearl Island",3
"Pitcairn",3
"Raccoon Key",3
"Roque Island",3
"Round Island",3
"Saltholm",3
"Sandy Key",3
"San Felix",3
"Sauvie",3
"Serasan Island",3
"Sermata Island",3
"Shepherd",3
"Sidney Island",3
"Smuttynose",3
"Tawi-Tawi",3
"Tiger Island",3
"Tortuga Island",3
"Vanatinai Island",3
"Watom Island",3
"Whidboy",3
"Wingham Island",3
"Achpitak Island",2
"Addu Atoll",2
"Ailsa Craig",2
"Alaid Island",2
"Anacapa",2
"Anguilla",2
"Bahia Orange",2
"Baratang Island",2
"Basbas Island",2
"Belle Island",2
"Bingham Island",2
"Blue Lagoon Island",2
"Bogoslof Island",2
"Bowen Island",2
"Buka Island",2
"Byron Island",2
"Capraia",2
"Chichagof",2
"Cornelius",2
"Coronation",2
"Cousin Island",2
"Cuvier Island",2
"Dominica",2
"Ekewern",2
"Elliott",2
"Faraulep Atoll",2
"Fishers",2
"Flores",2
"Foengoe Island",2
"Fuerteventura",2
"Futuna Island",2
"George",2
"Gravel",2
"Gravel Island",2
"Great Cranberry",2
"Great Sitkin Island",2
"Greenly Island",2
"Grizzly",2
"Herald Islets",2
"Hiti Atoll",2
"Hog",2
"Hog Island",2
"Honolulu/Kauai",2
"Hope Island",2
"Horsehead",2
"Huntington",2
"Iki Island",2
"Ile Manoui Atoll",2
"Inis na Bro Island",2
"Isla Grande",2
