"scientificNameAuthorship","reps"
"(Matthew)",529
"Perkins 2008",529
"(Bangs, 1896)",528
"Ag.",526
"DesH.",526
"(Macleay, 1877)",526
"Philippi",526
"Deshayes",525
"(Gabb), 1864",525
"Brauer 1902",524
"Lea, 1834",524
"(Audubon, 1837)",523
"Dall, Bartsch & Rehder, 1938",523
"Marsh, 1872",523
"Muir-Wood & Cooper",523
"Brues 1910",522
"Cope, 1863",521
"Dall, 1889",521
"Günther, 1858",521
"Ruedemann",521
"Tillyard 1926",519
"Hyatt & Smith",518
"Scoploi, 1777",518
"(Cresson, 1865)",517
"Newc.",517
"(Bangs, 1899)",516
"Conr.",516
"Ridgway, 1884",516
"Whittington & Evitt",516
"Fer",515
"(Deane 1933)",514
"(Lawrence, 1851)",514
"(Edwards & Haime)",513
"(Owen & Shumard)",513
"Muller, 1774",511
"Sclater, 1859",510
"Simpson, 1920",509
"(Townsend, 1837)",509
"(Blackwall, 1846)",508
"Schreber, 1782",508
"Green, 1832",507
"Lamk.",507
"Tyler et al.",507
"Forel, 1881",506
"Francoeur, 1973",503
"C. B. Adams",502
"KAY",502
"Swainson, 1838",502
"(Deppe, 1830)",501
"Moll & Roch, 1931",501
"(Emerton, 1882)",500
"(Drury, [1773])",498
"(Nauss)",498
"Eicher",497
"(Beireis, 1783)",496
"LeConte 1876",496
"(Scopoli, 1786)",496
"(Vieillot, 1809)",496
"(Richardson, 1844)",494
"(Billings, 1866)",493
"(Audubon, 1839)",492
"Buren, 1972",491
"Swainson",491
"Swallow",490
"Baird and Girard, 1852",489
"(Lamarck, 1818)",489
"Boulenger, 1884",488
"Lazell, 1962",487
"(Couthouy, 1838)",486
"Emery",486
"Garman, 1899:266",486
"Kaup, 1860",485
"Knight",485
"(Vieillot, 1816)",485
"Anthony",484
"(A. Wilson, 1812)",484
"(Peters, 1844)",484
"(Say, 1818)",484
"Cushman & Renz",481
"Roding",481
"Wheeler, W.M., 1910",481
"Stewart",479
"(Totten, 1834)",479
"Brug.",478
"Cushman & Bermudez",478
"(Pontoppidan, 1763)",478
"Spix, 1824",478
"(Mitchill)",477
"Newberry & Worthen",476
"(Wright, 1874)",476
"A. Milne Edwards, 1880",474
"Günther, 1869",474
"(Nicholson)",474
"Carter",471
"Con.",471
"(Forel, 1893)",471
"Vaughan",471
"(Boulenger, 1912)",470
"Laporte, 1843",470
"Bosc, 1800",468
"Ladd",468
"Newcomb",468
"Alberstadt",467
"(Günther, 1867)",467
"Rossman, 1958",467
"(Say, 1836)",467
"Fabricius, 1775",466
"Roger",466
"(Godart, 1819)",465
"(Gould, 1846)",465
"(Lea, 1833)",465
"Norman,1930",465
"(Foerste)",464
"Bangs, 1899",463
"Fer.",463
"(Günther, 1858)",462
"Shreve and Williams, 1963",462
"(Lacépède, 1788)",461
"Mull.",460
"Newman, 1834",460
"Rominger",460
"Milne-Edwards & Haime",459
"Mather, 1915",458
"Regan and Trewavas, 1930",458
"Todd",458
"(Hall, 1847)",457
"(Wheeler, W.M., 1903)",457
"Blow, 1959",454
"Cassin, 1852",454
"d'Orb.",454
"Duméril, Bibron and Duméril, 1854",454
"(Cramer, 1777)",453
"Goldf.",453
"(Peters, 1867)",453
"(Günther, 1859)",452
"Brisson, 1762",451
"(Buckley, 1867)",451
"(Gabb)",451
"(Poda, 1761)",451
"Bloch and Schneider, 1801",450
"(Safford)",450
"Drap.",449
"Say, 1823",449
"Zweifel, 1956",449
"(Merrem, 1802)",448
"(Probst)",448
"Mayn",447
"Schuchert",447
"(Norwood & Pratten, 1855)",446
"Mukhacheva, 1964",444
"Hallowell, 1854",442
"Billings, 1865",441
"(Günther, 1887)",441
"Goldfuss",441
"Rafinesque 1810",441
"Thompson, 1840",441
"Wade",441
"(Bloch and Schneider, 1801)",440
"(Hinckley, 1882)",440
"Gabb, 1864",439
"(Fichtel & Moll)",437
"(Brown and Myers, 1949)",436
"Gld",436
"(Clarke)",433
"Moore",433
"Weller",433
"Benson",432
"(Kuhl, 1820)",432
"Lk.",431
"(Wiegmann, 1834)",431
"Zweifel, 2000",431
"Blainville",430
"Ahl, 1924",428
"Emery, 1890",427
"(Vigors, 1839)",427
"(Hall, 1859)",426
"(Greer and Parker, 1967)",423
"Lacépède, 1801",423
"Rafinesque, 1819",423
"Weaver, 1916",423
"(Say, 1826)",421
"(Scudder, 1863)",420
"(Sharp 1882)",420
"(Bourcier & Mulsant, 1846)",419
"(Hall & Clarke)",419
"Hwass",419
"(Lamy, 1923)",419
"Hagen 1861",418
"(Holbrook, 1840)",418
"(Lacépède, 1803)",417
"Swainson, 1827",417
"Olson & James",414
"Vokes",414
"(Williamson)",414
"Emerton, 1882",413
"Verrill",413
"Marintsch",412
"Mojsisovics",412
"Plummer",412
"Peck",411
"Gertsch, 1941",410
"(Defrance)",409
"(Ehrenberg)",409
"Raf",409
"Rve",409
"Gray, 1840",407
"Ridgway, 1901",406
"(Nuttall, 1840)",405
"(Waterhouse & Lyell, 1914)",405
"(Linneaus, 1758)",404
"Bland",403
"(Linn.)",403
"Lowe, 1843",403
"Günther, 1862",402
"Finlay",400
"Parker",400
"(Say, 1825)",400
"Marsh, 1881",399
"P. L. Sclater, 1860",399
"Phil",398
"(Cassin, 1852)",397
"(Tschudi, 1844)",396
"(Cope, 1884)",395
"(Spix, 1824)",395
"Mllf.",394
"Gill",393
"(Hentz, 1850)",393
"Collett, 1889",392
"(Cope, 1868)",392
"(Lesueur, 1819)",392
"P. L. Sclater, 1857",392
"Alexander & Smith 1932",391
"Darlington 1937",391
"Peters, 1854",391
"Banks, 1896",390
"Boulenger, 1898",390
"Gidley",390
"(Rominger)",390
"Boucot",389
"(Corda)",389
"(Leveille, 1835)",389
"Montfort, 1810",389
"(Henshaw, 1884)",388
"Pfeffer, 1893",388
"Reeve, 1850",388
"(Sellards)",388
"(Draparnaud, 1801)",387
"Peterson",387
"D'Orbigny, 1837",386
"(Storer, 1839)",386
"(Hinds, 1844)",385
"Hinds",384
"Lynch, 1968",384
"(Muller)",384
"(Hamilton, 1822)",383
"Hoover",383
"d'Orbigny, 1839",382
"Erxleben, 1777",382
"(Hewitson, 1862)",382
"Williams",382
"Krauss",381
"(Rottemburg, 1775)",381
"Berdan",380
"(Lovell)",380
"Pse",380
"Creighton, 1940",378
