"phylum","reps"
"Marmota flaviventris cf.",4
"Microtus longicaudus ?",4
"Myotis velifer ?",4
"Nannippus peninsulatus",4
"Neotoma albigula cf.",4
"Neotoma findleyi ?",4
"Neotoma leucodon or Neotoma micropus",4
"Nucula",4
"Ovis canadensis ?",4
"Panope",4
"Pantherophis emoryi cf.",4
"Perognathus flavus or Perognathus merriami",4
"Peromyscus boylii cf.",4
"Peromyscus truei",4
"Polinices galianoi",4
"Polinices ramonensis",4
"Prolicaphrium sanalfonensis",4
"Pseudacris triseriata cf.",4
"Pterostichus",4
"Quiscalus sp.",4
"Radiolaria",4
"Saiga tatarica",4
"Saurichthys",4
"Serpulidae",4
"Smilodon fatalis",4
"Sorex nanus",4
"Stephanoceras",4
"Subansiria",4
"Teredo",4
"Thyasira disjuncta",4
"Tomiopsis",4
"Trimerophytophyta",4
"Trophonopsis",4
"Urocyon cinereoargenteus cf.",4
"Yoldia biremis",4
"Yoldia scissurata",4
"Accipiter cooperii ?",3
"Accipitridae",3
"Anaxyrus cognatus",3
"Anaxyrus cognatus cf.",3
"Ancistrolepis eucosmius",3
"Angiosperms - Asterids",3
"Ankylosauridae",3
"Anomia",3
"Antiplanes",3
"Antiplanes voyi",3
"Ardeidae",3
"Aspidoscelis tigris",3
"Baiomys sp.",3
"Beringius crebricostatus",3
"Bogertophis or Elaphe",3
"Borophagus diversidens cf.",3
"Bos or Equus",3
"Brachylagus idahoensis ?",3
"Calcispongea",3
"Canis latrans ?",3
"Cardita",3
"Cathartes aura cf.",3
"Cephalorhyncha",3
"Chaetodipus cf.",3
"Chelonia ?",3
"Chlamys rubida",3
"Cidaroida",3
"Ciliophora",3
"Colus",3
"Coragyps occidentalis ?",3
"Crassatella washingtoniana",3
"Crepidula praerupta",3
"Cygnus",3
"Dendraster ashleyi",3
"Dentalium hecetaensis",3
"Desmostylidae",3
"Dipodomys merriami",3
"Epitonium",3
"Eptesicus fuscus cf.",3
"Equus francisci",3
"Equus pacificus",3
"Falco cf.",3
"Felis domesticus",3
"Fusitriton",3
"Geomys arenarius or Geomys bursarius",3
"Gulo gulo",3
"Hesperotestudo cf.",3
"Homalopoma wattsi",3
"Idiognathoides",3
"Lampropeltis pyromelana cf.",3
"Leptagonia",3
"Lepus californicus ?",3
"Linoproductus meniscus",3
"Lucina hannibali",3
"Lynx rufus ?",3
"Macoma inquinata",3
"Macoma moesta",3
"Mactra",3
"Mammuthus columbi cf.",3
"Microtus ?",3
"Microtus deceitensis",3
"Molllusca",3
"?Mollusca",3
"Molossidae sp.",3
"Muramotoceras",3
"Muridae",3
"Mustelidae ?",3
"Myotis thysanodes cf.",3
"Myrmicinae",3
"Mytilus snohomishensis",3
"Natica clausa",3
"Navahoceros ?",3
"Navahoceros fricki",3
"Navahoceros fricki ?",3
"Neotoma albigula ?",3
"Neotoma floridana",3
"Neotoma stephensi ?",3
"Nothrotheriops cf.",3
"Numenius americanus",3
"Odontophoridae sp.",3
"Onychomys arenicola cf.",3
"Onychomys cf.",3
"Onychomys leucogaster cf.",3
"Ophiuroidea",3
"Oreamnos ?",3
"Ovis canadensis or Ovis catclawensis",3
"Pachycephalosauridae",3
"Parataxodium wigginsii",3
"Peromyscus boylii ?",3
"Peromyscus boylii or Peromyscus laceianus",3
"Perse olympicensis",3
"Phacoides columbianum",3
"Phrynosoma cornutum cf.",3
"Phrynosoma modestum cf.",3
"Pica hudsonia",3
"Picea",3
"Picidae sp.",3
"Pinaceae",3
"Pinales",3
"Pituophis ?",3
"Pituophis catenifer ?",3
"Plesiosauria",3
"Pliomys deeringensis",3
"Pododesmus macroschisma",3
"Polinices lincolnensis",3
"Porifera?",3
"Proteobacteria",3
"Pseudoprotophyllum",3
"Pusa hispida",3
"Quenstedtoceras",3
"Rangifer tarandus caribou",3
"Reithrodontomys ?",3
"Reithrodontomys megalotis cf.",3
"rms - Eudicots",3
"Salvadora cf.",3
"Sauria ?",3
"Sceloporus undulatus ?",3
"Scutellaster hertleini",3
"Sigmodon hispidus cf.",3
"Siliqua",3
"Sonninia projectifer cf.",3
"Sorex merriami ?",3
"Spirotropis",3
"Spisula brevirostrata",3
"Spisula callistaeformis",3
"Stegacanthia",3
"Strigiformes sp.",3
"Tapirus sp.",3
"Thamnophis ?",3
"Theosodon sp.",3
"Trimorphodon sp.",3
"Turritella uvasana",3
"Tympanuchus cf.",3
"Tyto alba",3
"Urocitellus elegans cf.",3
"Urosaurus ornatus cf.",3
"Vespertilionidae",3
"Zoantharia",3
"Accipiter sp.",2
"Accipitridae cf.",2
"Acila shumardi",2
"Acroteuthis",2
"Admete couthouyi",2
"Aforia clallamensis",2
"Alispirifer",2
"Alphachoristites trautscholdi",2
"Aluralagus virginiae",2
"Ambystoma mavortium cf.",2
"Ammospermophilus sp.",2
"Amoebozoa",2
"Anabernicula cf.",2
"Anas crecca carolinensis cf.",2
"Anas cyanoptera ?",2
"Anas cyanoptera cf.",2
"Anatidae",2
"Anaxyrus debilis",2
"Anaxyrus punctatus cf.",2
"Ancistrolepis clarki",2
"Anser  ?",2
"Anthracospirifer occiduus",2
"Antiplanes perversa",2
"Antrozous cf.",2
"Aphaenogaster sp.",2
