"index.specificepithet","reps"
"gallopavo",723
"gemma",723
"narinari",722
"mayri",721
"amoenum",720
"cataracta",720
"compressum",720
"hasitata",720
"pinetis",720
"signifera",720
"latidens",719
"lividus",719
"schucherti",719
"amblyrhynchoides",718
"chrysaetos",716
"idahoensis",716
"arnoldi",714
"exigua",714
"michelini",714
"lasallensis",713
"listeri",711
"longipes",710
"violacea",710
"longifolia",708
"cromis",706
"maritimus",705
"cayana",704
"chaneyi",704
"serratus",704
"tuberculatus",704
"crucifer",703
"asio",702
"platyrhynchos",702
"tricolor",701
"unicolor",701
"braueri",699
"leptostomus",699
"peracuta",699
"utahensis",699
"atricapillus",698
"lanceolata",698
"affine",697
"brownsportensis",697
"indianensis",696
"waterhousii",696
"apicina",695
"cunicularia",695
"microdon",695
"undatum",695
"areolata",694
"medius",694
"feildeni",693
"nebulosus",693
"pomum",693
"dislocata",692
"bulbosa",691
"sumani",691
"furcifera",688
"polita",688
"fulgens",687
"anabathrum",686
"lapillus",686
"defensor",685
"knoxense",685
"pruinosus",685
"obsoletus",684
"pipiens",684
"rosea",684
"suborbitale",684
"lobata",683
"testudinaria",683
"williamsonii",683
"familiaris",682
"panamensis",682
"sculpturatus",682
"bairdianus",681
"trivittata",681
"jacksonensis",680
"rudis",680
"arborea",679
"bottae",679
"brasiliensis",678
"japonica",676
"variegatus",676
"perspicillata",675
"labiatus",673
"cookei",672
"cylindrica",672
"maculatum",671
"dubium",670
"longiramus",670
"torrenticola",670
"wilmingtonensis",670
"emsliei",669
"arcuatus",668
"leiseyi",668
"pilifera",668
"hornensis",665
"meridionalis",665
"crenulata",664
"fissistriata",664
"ladon",664
"sphenophylloides",664
"cingulata",663
"latipes",661
"angusta",660
"lynx",660
"tessellata",659
"barrisi",658
"cinnamomeoventris",658
"mariae",657
"multicostata",657
"gilvus",655
"paeckelmanni",654
"rusticus",654
"jelskii",653
"lenis",653
"cordylina",652
"siphonifera",652
"atrox",651
"incerta",650
"prima",650
"umbellus",650
"maculosa",649
"planorbis",649
"solida",649
"dawsoni",648
"hicksi",648
"rona",648
"terrapin",648
"alta",647
"comprimus",647
"ruficeps",647
"matthewi",646
"vicksburgensis",646
"asper",645
"coloradoensis",645
"opacicollis",645
"dubius",644
"mephitis",644
"walkeri",644
"wattsi",644
"virgata",643
"derbyi",640
"vodorezovi",639
"digitalis",638
"evermanni",638
"gibba",638
"macroura",638
"acadica",636
"mustelina",636
"parvicostata",636
"parkeri",635
"maxwelli",632
"toro",632
"ostrearum",631
"shastensis",631
"apiculata",630
"humeralis",630
"erminea",629
"gramineus",628
"pitkinensis",628
"smithii",626
"obtusa",625
"sinuata",625
"ustulatus",625
"carduelis",624
"hystrix",624
"mitra",623
"expansa",622
"africanus",621
"eximium",621
"rex",621
"gracile",620
"plena",620
"limifrons",619
"pardalis",619
"rigida",619
"contracta",618
"pentremites",618
"enoptes",617
"ludwigi",617
"appendiculata",616
"fossatus",616
"gibbosus",616
"pumila",616
"bellatula",615
"caudata",615
"kuszmauli",615
"vermicularis",615
"angustus",614
"domesticus",614
"eugeneae",614
"striatula",614
"barracuda",613
"arcuaria",611
"columbiana",611
"excavata",611
"neorufibarbis",611
"spinifera",611
"bilineata",610
"enucleator",610
"ohioensis",610
"wollgari",610
"fowleri",609
"furcatus",609
"pergandei",609
"toquimense",609
"oweni",608
"rufa",608
"atra",607
"tristis",607
"albogularis",606
"interrupta",606
"w-nigrum",606
"forficatus",605
"typa",605
"calcaratus",604
"evax",604
"lepidotus",604
"falconensis",602
"inermis",602
"vulpes",602
"alvae",601
"dispar",601
"pedaliota",600
"springeri",600
"vetustus",600
"crawfordensis",599
"eomigrans",599
"cliftonensis",598
"menardii",598
"rugosum",597
"breviceps",596
"glaber",596
"mutica",595
"pinguis",595
"verneuili",595
"vittata",595
"browni",594
"cuniculus",594
"elliptica",594
"multicarinatus",593
"salteri",593
"arabica",592
"philodice",592
"stocki",592
"antarcticus",590
"bartschi",589
"discus",589
"photonotus",589
"smaragdinus",589
"dyeri",588
"eocenica",588
"fratris",588
"cyanea",587
"heterophylla",587
"fletcheri",586
"melanocephalum",586
"nearcticus",586
"sublamellosa",586
"mentalis",585
"miocenica",585
"granulosus",584
"lima",584
"margaritifera",584
"martini",584
"profunda",583
"celata",582
"serratum",582
"lucidus",580
"glyptostroboides",579
"divisus",578
"insularis",578
"gibbus",577
"media",577
"norwoodi",577
"pittsburgensis",577
"punctulata",577
"jacksboroensis",576
"nodulifera",576
"quadricostatus",576
"downeyae",575
"emarginatum",575
"prolifica",575
"spipoletta",575
"angulatus",574
"barrandei",574
"circumfirmatus",574
"marinus",574
"radians",574
"melanocephalus",573
"microlophus",573
"robinae",573
"flabellites",572
"leucoptera",572
"powelli",572
"punctatum",572
"breweri",571
"muscorum",571
"militaris",570
"rotundatus",570
"caudacutus",569
"laticosta",569
"lucifugus",569
"moerens",569
"spicata",569
"magnificus",567
"perrini",567
"takazze",567
