"genus","reps"
"Euspira",1078
"Glyptotherium",1077
"Semionotus",1077
"Euphonia",1076
"Lenticulina",1075
"Lithologic Sample",1075
"SEMELE",1072
"Callistophyton",1070
"unidentifiable",1068
"Fenestella",1067
"Melamphaes",1067
"Arthroleptis",1065
"Hypochrysops",1065
"Nucella",1065
"Semele",1061
"CARYOCORBULA",1059
"Myliobatis",1057
"Alphadon",1056
"Regulus",1054
"Fusinus",1053
"Phymatopleura",1053
"Sphaerirhynchia",1051
"Phrynosoma",1050
"Cupidinimus",1048
"Cardinalis",1046
"Bulla",1045
"PARVILUCINA",1044
"Camelops",1043
"Cynomys",1043
"Cantius",1041
"Procyon",1038
"Clinocardium",1037
"Mesoceration",1037
"Billingsella",1035
"Glyptorthis",1035
"MYRAKEENA",1035
"Spaciinodum",1032
"Pseudhipparion",1031
"Paraparchites",1030
"EUPATAGUS",1028
"Bolitoglossa",1027
"Eponides",1027
"Fasciolaria",1024
"Mimus",1024
"Zelkova",1022
"Tadarida",1020
"Trepostome?",1019
"Ogyris",1018
"SEPTASTREA",1018
"Stygimys",1018
"Eremotherium",1017
"Trogon",1017
"Procerberus",1015
"Neverita",1014
"Soleniscus",1014
"Amplexus",1012
"Echinauris",1012
"Pseudocardium",1010
"CINCTURA",1009
"Lygodactylus",1009
"Myrmecocystus",1009
"Rissoa",1009
"Zelotes",1005
"POLINICES",1004
"Ulmus",1004
"Delthyris",1003
"Neoantistea",1003
"Pomatomus",1002
"Calcarius",1001
"Pleurocera",1001
"Trochammina",1001
"Patella",1000
"Murchisonia",999
"Drepanochilus",997
"Ananias",996
"Mycalesis",995
"Moorefieldella",993
"HEILPRINIA",992
"Pentamerus",989
"Aphelocoma",988
"Rhynchopora",988
"Trochosa",988
"Glaucopsyche",987
"PHYLLONOTUS",987
"Neivamyrmex",986
"Caninia",983
"Conocardium",983
"Paradoxides",983
"Plestiodon",981
"CAROLINAPECTEN",980
"Indet. Ostracode",979
"Macroneuropteris",978
"EUPLEURA",976
"Leptachatina",976
"Nonion",975
"Porzana",974
"Calyptraea",973
"Cyclocardia",972
"Strophonella",972
"Cassidulina",971
"Anguilla",969
"Betulites",967
"Codakia",966
"Prorichthofenia",966
"Equisetum",965
"Erynnis",964
"Dalmanitina",963
"Drepanophycus",963
"VOKESULA",963
"ANODONTIA",961
"Athleta",959
"Micrurus",959
"Gypidula",957
"Edmondia",954
"Acrotreta",951
"Sifrhippus",950
"Diogenichthys",948
"Otus",948
"Phrurotimpus",948
"Pogonias",943
"Trigonias",942
"Icaricia",941
"Columbigallina",940
"Geospiza",940
"Valenciennellus",940
"Squamularia",936
"Neptunea",932
"Partula",932
"Michelinoceras",931
"Indet. Pelmetazoan",928
"Lepidodactylus",928
"Thamnophilus",928
"Motacilla",927
"Astronesthes",926
"Palaeocaris",924
"Trachycardium",924
"Cryptotis",923
"Aspidoscelis",922
"Crassatella",922
"Garrulax",922
"Mantidactylus",922
"Tribolonotus",921
"Pholidophorus",920
"Simimys",920
"Tyto",919
"Esox",918
"Fundulus",917
"Esthonyx",915
"Machaeromeryx",913
"Dyoros",912
"Kozlowskia",912
"Protospermophilus",912
"Wilkingia",912
"Columenoceras",911
"Poebrotherium",911
"Tagelus",909
"ASTARTE",903
"Crangon",902
"NOETIA",902
"Emporia",901
"Stegerhynchus",898
"Colus",897
"Epicyon",897
"Spirigerella",897
"Waptia",896
"Conularia",895
"Meniscoessus",895
"Molothrus",894
"Lophotichium",890
"Phyllops",889
"Spiriferella",889
"Apheoorthis",886
"Euploea",886
"Anastrophia",885
"Hyolithes",885
"Castor",883
"Myodes",883
"Partulina",883
"Catopsilia",881
"Sphyrapicus",881
"Astraea",880
"Mesodon",880
"Podilymbus",876
"Siphonaria",876
"Celastrina",875
"ARGOPECTEN",871
"Diploglossus",871
"Spondylus",871
"Notoscopelus",869
"Megalops",868
"Mephitis",868
"Achatina",867
"Chiton",867
"Triodopsis",867
"Enchodus",865
"Cercocarpus",863
"Neptis",863
"Palaeosyops",862
"Nemichthys",861
"Cardichelyon",860
"Chelydra",860
"Dinorthis",858
"Anachis",857
"Limenitis",857
"EPITONIUM",856
"Kinosternon",856
"Homoeospira",855
"Hiatella",854
"ENCOPE",853
"Nucleospira",853
"Polyommatus",853
"Urosaurus",853
"Aulacopleura",852
"Cyrtospirifer",848
"Drymaeus",848
"NUCULA",848
"Straparollus",848
"Parablastomeryx",847
"Anomalina",846
"Elkinsia",846
"Protungulatum",846
"Gavia",845
"Architectonica",843
"Phenacolemur",842
"Cupularostrum",840
"Pustula",840
"Cryptolithus",837
"Candalides",836
"Symphysurina",835
"Aetobatus",834
"Colpodes",834
"Valvulineria",834
"Ramphocelus",832
"Voluta",831
"Echinocaris",829
"Leptodus",828
"Heliolites",827
"Didymictis",826
"Martinia",825
"Haplophragmoides",824
"Pseudomyrmex",822
"Protoscutella",821
"Hughmilleria",820
"Lamprolepis",820
"Calamostachys",818
"Thraupis",818
"Amastra",817
"Ankyropteris",817
"Holothuria",817
"Trivia",816
"Hogna",815
"Pugnax",815
"SCAPHELLA",815
"Pteranodon",814
"Echinoconchus",813
"Erithacus",813
"Sayornis",813
"Isorthis",812
"Linuparus",812
"Lygisaurus",812
"Orconectes",812
"Gymnodactylus",811
"Appias",809
"Bittium",809
"Bothus",809
"Serrivomer",809
"Solen",808
"NUCULANA",807
"Halcyon",806
"Pteria",806
"Elaenia",805
"Adelpha",803
"Ambonychia",803
"Lampropeltis",802
"Eumetria",800
"Stromatolite",800
"Mytiloides",799
"Latirus",798
"Bathylagus",797
"Coragyps",797
"Prionotus",797
"Proetus",797
"Botryopteris",796
"Anemorhysis",795
"LUCINA",794
"Saltator",793
"Amphicyon",792
"Clubiona",792
"Gymnothorax",792
"Lasmigona",792
"DINOCARDIUM",791
"Cistothorus",789
"Diplodonta",789
"Gomphotherium",788
"Pipistrellus",788
"PLIOTOXASTER",788
"Grewingkia",787
"Monograptus",786
"Crania",785
"DENTALIUM",785
"Coereba",784
"Heliscomys",784
"BOSTRYCAPULUS",783
"Bregmaceros",783
"Pirata",783
"Reticularia",781
"Etheostoma",780
"TRIPLOFUSUS",780
"Buxtonia",778
"Ardea",776
"EURHOMALEA",776
"Goniatites",776
"Reophax",776
"Globigerinella",775
"Mercenaria",775
"Drupa",774
"Cnemidophorus",773
"Bombycilla",771
"Alasmidonta",769
"Sporophila",769
"Paracyclas",768
"Stromatopora",767
"Timulla",766
"Citellus",765
"Constellaria",764
"COSTAGLYCYMERIS",764
"Pholadomya",764
"TELLINA",764
"Speyeria",763
"Echinolampas",762
"Stigmaria",761
"Tuscahomys",761
"Cercidiphyllum",758
"PLANORBELLA",756
"Stenoscisma",756
