"index.genus","reps"
"aquila",1187
"elimia",1186
"parafusulina",1186
"problematicum",1183
"scenella",1183
"mesohippus",1180
"notharctus",1180
"eupatagus",1177
"villosa",1177
"xysticus",1176
"forelius",1174
"celestus",1173
"calippus",1170
"tropidoleptus",1170
"cyanocitta",1169
"niptomomys",1169
"axinactis",1166
"gonichthys",1166
"sphyraena",1165
"straparollus",1165
"hesperorthis",1163
"merycodus",1163
"sphenopteris",1161
"acipenser",1160
"mugil",1159
"parajuresania",1159
"leperditia",1157
"nassa",1156
"copemys",1155
"acanthis",1154
"anodontia",1153
"emarginula",1151
"notolychnus",1151
"prosciurus",1148
"cretolamna",1143
"acteocina",1139
"zonitoides",1138
"modulus",1136
"wasmannia",1135
"synaptomys",1134
"septastrea",1132
"sphaerirhynchia",1129
"gehyra",1128
"parasthetops",1127
"lopha",1125
"ulmus",1124
"gaudryina",1123
"clinocardium",1122
"spongia",1121
"fenestella",1119
"venus",1119
"haliotis",1118
"hyrachyus",1118
"vermivora",1117
"bostrycapulus",1114
"anochetus",1113
"modiolopsis",1109
"perognathus",1109
"satyrium",1107
"cynomys",1106
"reedops",1103
"planorbella",1102
"nactus",1101
"parallelodon",1101
"stenamma",1099
"pristis",1097
"trilobia",1097
"cantius",1093
"ottoia",1092
"cimolodon",1090
"passer",1089
"lagopus",1085
"naticarius",1084
"mimus",1081
"trivia",1081
"calidris",1078
"semionotus",1078
"pycnonotus",1077
"euphonia",1076
"lithologic sample",1075
"phymatopleura",1075
"myliobatis",1073
"pentamerus",1073
"vokesula",1072
"callistophyton",1070
"zenaida",1069
"unidentifiable",1068
"vexillum",1068
"athleta",1062
"melamphaes",1062
"sinum",1061
"ananias",1060
"xenophora",1059
"conularia",1058
"alphadon",1056
"caecum",1056
"camelops",1055
"glyptorthis",1055
"hypoponera",1054
"regulus",1054
"phrynosoma",1053
"myrakeena",1051
"teleosteus",1050
"murchisonia",1049
"rhinella",1049
"cupidinimus",1048
"scaphella",1048
"albericus",1047
"hypochrysops",1047
"cardinalis",1046
"delthyris",1042
"callophrys",1040
"acrotreta",1038
"procyon",1038
"hyloxalus",1037
"mesoceration",1037
"urosalpinx",1037
"trogon",1036
"amplexus",1035
"pleurocera",1033
"hiatella",1032
"lyropecten",1032
"spaciinodum",1032
"ostracita",1031
"porzana",1031
"bolitoglossa",1029
"conocardium",1029
"paraparchites",1028
"tadarida",1028
"billingsella",1026
"eponides",1022
"pseudhipparion",1019
"trepostome?",1019
"halysites",1018
"ogyris",1018
"stygimys",1016
"heteraster",1015
"procerberus",1015
"lygodactylus",1014
"soleniscus",1010
"myrmecocystus",1009
"polychaetura",1009
"udara",1009
"plestiodon",1006
"strophonella",1004
"drepanocheilus",1003
"neoantistea",1003
"pomatomus",1002
"calcarius",1001
"mycalesis",1001
"turrina",1001
"eucrassatella",1000
"zelotes",999
"paradoxides",997
"moorefieldella",995
"glyptotherium",994
"chesapecten",993
"rhynchopora",992
"aphelocoma",989
"rissoa",989
"trochosa",989
"acila",987
"glaucopsyche",986
"hylarana",985
"lucinisca",985
"micrurus",985
"caninia",984
"poecile",982
"stenoscisma",982
"neivamyrmex",981
"leptachatina",980
"heliolites",979
"indet. ostracode",979
"pogonias",979
"echinocaris",978
"reticularia",977
"aetobatus",974
"selatherium",974
"trigonostoma",974
"anguilla",970
"equisetum",970
"neptunea",969
"gypidula",967
"homoeospira",967
"tucetona",967
"erynnis",964
"drepanophycus",963
"aspidoscelis",962
"colus",962
"thamnophilus",960
"cephalopone",959
"hyolithes",959
"anomalocardia",957
"lobatus",955
"seiurus",955
"molothrus",954
"prorichthofenia",954
"diogenichthys",952
"patella",952
"betulites",949
"abra",948
"fundulus",948
"michelinoceras",948
"phrurotimpus",948
"limenitis",947
"nonion",946
"castor",945
"trigonias",941
"valenciennellus",940
"notomorpha",938
"protoscutella",937
"lacertina",936
"geospiza",934
"kozlowskia",934
"passerella",934
"brachidontes",932
"euvola",932
"indet. pelmetazoan",928
"motacilla",928
"simimys",928
"zelkova",927
"astronesthes",926
"palaeocaris",924
"trochammina",924
"cryptotis",923
"partula",923
"tribolonotus",922
"lunatia",921
"tyto",919
"esox",918
"lepidodactylus",918
"vokesimurex",917
"dyoros",914
"machaeromeryx",913
"protospermophilus",912
"poebrotherium",911
"thyasira",911
"hexaplex",910
"mytilarca",910
"stegerhynchus",910
"pholidophorus",908
"petaloconchus",907
"felis",906
"eurhomalea",905
"crangon",902
"emporia",901
"onychodus",901
"rhynchospirina",901
"sphaenodiscus",899
"spirigerella",898
"waptia",896
"wilkingia",896
"placenticeras",894
"columenoceras",892
"spiriferella",892
"anastrophia",891
"meniscoessus",891
"lophotichium",890
"anomalina",889
"phyllops",889
"cinctura",888
"euploea",886
"mesodon",886
"achatina",884
"catopsilia",883
"periarchus",882
"lithophaga",881
"sphyrapicus",881
"arcinella",879
"chiton",877
"podilymbus",876
"oligopygus",875
"aulacopleura",874
"astraea",873
"siphonaria",872
"cyrtospirifer",870
"latirus",870
"megalops",869
"mephitis",869
"notoscopelus",869
"celastrina",868
"cercocarpus",866
"nucleospira",865
"thais",865
"linuparus",864
"apheoorthis",863
"neptis",863
"collignoniceras",862
"nemichthys",862
"cardichelyon",860
"chelydra",860
"kinosternon",857
"siphocypraea",855
"triplofusus",855
"solen",851
"urosaurus",851
"protungulatum",850
"dinorthis",848
"eoorthis",848
"partulina",847
"elkinsia",846
"gavia",846
"columba",844
"valvulineria",844
"phenacolemur",842
"didymictis",841
"drymaeus",841
"nectarinia",841
"porites",841
"ctena",840
"schoenus",838
"cupularostrum",836
"orconectes",836
"bothus",835
"symphysurina",835
