"identifiedBy","reps"
"Charles W. Copeland",136
"D. Maynard",136
"Flower",136
"Gordon; Henry; Treworgy",136
"Lankford; Phleger",136
"South Carolina Wildlife and Marine Resources",136
"Wickham, HF",136
"Zug",136
"Cushman; Gray",135
"M. Marks",135
"S. C. Collins",135
"Ball",134
"Cole; Gravell",134
"Curtis R. Congreve",134
"Kline",134
"Marcelo Rocha",134
"Molly Solomon",134
"Raymond Ferdinand Laurent",134
"Samuel Hubbard Scudder",134
"Ed Timmer",133
"Higgins",133
"Milne",133
"Rasnitsyn, Alexandr P., Russian Academy of Sciences (RUSSIA)",133
"Van Duzee",133
"Zanno",133
"Alberstadt",132
"Frank Pezold",132
"Louis Roth",132
"Reeside",132
"A.F. Millidge",131
"Charles Rowett",131
"Grimaldi, Dave",131
"John S. Waldrop",131
"Julia G. Cosgrove",131
"Michael D. Shapiro",131
"Skinner, John W.",131
"Tracy McLellan",131
"Wood",131
"Gordon J. Howes",130
"(Hall",130
"John D. McEachran",130
"Sarah L. Boyer",130
"Catalina Pimiento",129
"Martin H. Muma",129
"Michael B. Harvey",129
"E. Wheeler",128
"Holloway",128
"Kammer; Ausich",128
"Scott V. Edwards",128
"George H. Burgess",127
"Ioannis E. Batjakas",127
"Logan Mullen",127
"Stitt",127
"CARLOS IGLESIAS",126
"Dietz",126
"Lochman, Christina; Hu",126
"Pessagno, Emile A., Jr., University of Texas at Dallas (UNITED STATES)",126
"Adela Roa-Veron",125
"Diane Wagner",125
"James Dwight Dana",125
"Lee D. Miller",125
"Miller",125
"Robert Green",125
"Smith, Karsten E. Hartel",125
"Stock",125
"Anja Schulze",124
"Douglas F. Markle",124
"Dunkle",124
"Edward Hallowell",124
"Gary Selinger",124
"Henry Augustus Ward",124
"Karsten E. Hartel, Jenifer L. Bush",124
"Kay",124
"Orlando H. Garrido",124
"Thomas L. Casey",124
"Gorman, M",123
"(Hawle and Corda",123
"G. David Johnson",122
"Kevin R. Chovenec",122
"Wheeler",122
"Christina Lochman",121
"Holman, J. A.; Grady",121
"John Lawrence LeConte",121
"Sharon K. Collinge",121
"Synonomy",121
"William More Gabb",121
"A. Heckert",120
"Hamilton",120
"Logan",120
"Rau, Weldon, Division of Geology and Earth Resources (UNITED STATES)",120
"R. Drewes",120
"Cushman; Deaderick",119
"Malinky",119
"Mark S. Harvey",119
"McIntosh, John Stanton, Professor, Wesleyan Univ.",119
"Wade",119
"Anton Handlirsch",118
"(Beyrich",118
"Charles B. Schultz, Charles Falkenbach",118
"Jon Reiskind",118
"Peter Kaplan",118
"Sorauf, James E., (SUNY-B), State University of New York at Binghamton (UNITED STATES)",118
"Bohaska, David Joseph, Museum Specialist (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",117
"Jacques A. Gauthier",117
"Swartz",117
"Bogan, A. & Weaver P.",116
"Brower",116
"Ulrich; Bassler, Raymond S.",116
"William F. Rapp",116
"Fritz Drevermann",115
"Houde",115
"Thomas E. Whiteley",115
"(Hall), Stumm",114
"L. E. Koch",114
"Philipp C. Zeller",114
"Platnick, Berniker, Kranz-Baltensperger",114
"Pojeta, John; Zhang; Yang",114
"Rowell",114
"Brian D. Farrell",113
"Charlene D. Long",113
"N. A. Borodin",113
"William G. Parker",113
"Applin",112
"Berg, TM",112
"Boettger",112
"Brian Sidlauskas",112
"Charles Kugler",112
"Cushman; McGlamery",112
"H. H. Kimball",112
"Lionel A. Stange",112
"Alan Heath",111
"Elizabeth A. Maguire",111
"Lydia Johnson",111
"Triplehorn",111
"Vojtech Turek",111
"Buzas; Severin",110
"J. Paradis",110
"Leidy; Lucas",110
"Melanie L.J. Stiassny",110
"Richard H. Backus",110
"(Roemer)",110
"Bryan Patterson, Albert E. Wood",109
"Christopher Laumer",109
"Copeland",109
"Daniel M. Cohen",109
"Gareth J. Nelson",109
"Gilbertson",109
"Green, Whittington",109
"M. L. Steiner",109
"Owen J. Gingerich",109
"Prouty; Swartz",109
"Xinping Wang",109
"A. Heckert & J. Mitchell",108
"E.H. Wienskoski",108
"Famoso, Nicholas",108
"Heyo Van Iten",108
"Pojeta, John; Sohl, Norman F.",108
"Roberto E. Reis",108
"Terry Erwin",108
"Thomas",108
"Bassett",107
"Branisa",107
"Charles F. Brown",107
"Cindy Schraer",107
"Douglas M. Cameron",107
"Edward L. Bousfield",107
"Eric Youngerman",107
"James Hanken",107
"Owen and Shumard",107
"Rousseau H. Flower",107
"Walker",107
"Wallace, SM",107
"Alexander I. Petrunkevitch",106
"Byron D. Verrill",106
"Charles A. Ross",106
"Kirkland, J7",106
"Sven O. Kullander",106
"William Beutenmüller",106
"Gabriel Fiorini",105
"Gunther",105
"Krutak",105
"Marland Pratt Billings",105
"Mrs. Leslie Dyet",105
"Perkins",105
"Richard D. Estes",105
"S Chu",105
"Withnell, Charles, PhD student, University of Texas at Austin (UNITED STATES)",105
"Albert Schwartz, Jr., Henry Weed Fowler",104
"Alexander",104
"Cushman; Stone",104
"E.O. Murdy",104
"Guillaume Billet, Bryan Patterson, Christian de Muizon",104
"John S. Warren",104
"Millener",104
"PETER MEYLAN",104
"Rogick, Mary Dora",104
"S. M. Tshibwabwa",104
"S. Tonia Hsieh",104
"Thomas W. French",104
"Albert Schwartz, Jr., Ron F. Klinikowski",103
"Alpheus S. Packard, Jr.",103
"Benson, ME, Mary Ellen",103
"Carole C. Baldwin",103
"David J. Siveter",103
"Eric T. Schultz",103
"Joseph B. Slowinski",103
"Key",103
"Oberg, Danielle",103
"Zug, George R., (NMNH), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",103
"Eastman",102
"Gibson",102
"Hiroyuki Motomura",102
"Jenifer L. Bush",102
"Kier; Smith",102
"Luis R. Rivas",102
"M. Eric Anderson",102
"Robert W. Shufeldt",102
"Samuel S. Haldemann",102
"Sprinkle and Gutschick",102
"Swee-Peck Quek",102
"Beard",101
"C. L. Smith",101
"Crouch",101
"Daniele Polotow",101
"Duke, WC",101
"Evan T. Whiting",101
"Henderson, BR",101
"N. Backstrom",101
"Newsom, Charles",101
"Albert Schwartz, Jr., Thomas",100
"Amadeus William Grabau",100
"Dr. Martin Baehr",100
"Felix Santschi",100
"Gilmore, Charles Whitney, Curator, Smithsonian Institution",100
"Prof. Masamichi Takahashi : Niigata University",100
"Richard A. Smartt",100
"Robert McLachlan",100
"Thompson",100
"Weber",100
"Cindy Morgan",99
"Clarke, Laura",99
"E. N. Arnold",99
"Moe-Hoffman, Amy",99
"Daniel L. Graf",98
"GWogan",98
"Michel Edmond de Sélys Longchamps",98
"Mosher",98
"Ricardo Pinto-da-Rocha",98
"Robert M. McDowall",98
"Sprinkle & Gutschick",98
"Tank list",98
"Alicia R Pérez-Porro",97
"Charles Willison Johnson",97
"David W. Krause",97
"Doris M. Cochran",97
"El-Khayal",97
"Jon A. Moore",97
"Kleinpell",97
"Lou W. Hutchins",97
"Malcolm A. Smith",97
"Natali Valdes",97
"Uriel Garcilazo-Cruz",97
"David J. Lohman",96
"De Kay",96
"Harper",96
"Jimmy Cabra García",96
"J. Milam",96
"Lull, Richard Swann, Yale Univ.Peabody Mus.Nat.Hist.",96
"Parsons",96
"Peter Robinson",96
"Robert Kennicott",96
"S. Lockwood",96
"William E. Duellman",96
"Donald Flescher",95
"Henry M. Seely",95
"S. N. Brown",95
"Sydney S. Buckman",95
"Thomas Borgmeier",95
"William P. Conway",95
"C. F. Underwood",94
"Heinz Kozur",94
"House",94
"J. L. Castelo",94
"Jon A. Baskin",94
"Nigrini",94
"Sachs",94
"Stanley H. Weitzman",94
"Thaddeus W. Harris",94
"Becker; Dusenbury, A. N.",93
"Benson",93
"Donald G. Broadley",93
"Emilio A. Maury",93
"Estevam L.  Cruz da Silva",93
"Julian Bueno-Villegas",93
"Richard Thomas, Albert Schwartz, Jr.",93
"(Sowerby)",93
"Broadhead",92
"David W. Krause, Philip D. Gingerich",92
"George C. Miller",92
"JM",92
"J. Wyatt Durham",92
"Laurent, Carl Gans",92
"Malkin",92
"Merkl",92
"Ray S. Bassler",92
"Robert H. Gibbs, Janet R. Gomon",92
"(Shumard)",92
"THOMPSON, MILLER",92
"Uhen, Mark D., George Mason University (UNITED STATES)",92
"Walter H. Wheeler",92
"Alexander Mee-Woong Kim",91
"Anthony Geneva",91
"Dworakowska",91
"Edward L. Troxell",91
"Elliott, Ed",91
"Garry F. Mayer",91
"Heyer",91
"James H. Redner",91
"Joseph St. Jean",91
"Judith E. Winston",91
"Rodney M. Feldmann",91
"Rohr",91
"Sarah E. Kolbe",91
"Scott Shirar",91
"Weems, Robert E., (USGS-R), U.S. Department of the Interior (UNITED STATES)",91
"William N. Eschmeyer, Eschmeyer Cat. of Fishes",91
"Burmeister",90
"Cushman; Ellisor",90
"David A. Etnier",90
"Dorsey",90
"Laurie Burnham",90
"Matjaž Kuntner",90
"Robert Cyril Layton Perkins",90
"Detmar F. Schnitker",89
"Dlussky, Gennady M.",89
"Fritz",89
"Gosse",89
"J. C. Rakotonirina",89
"Phil LeBlanc",89
"Rathbun",89
"Richard Thomas",89
"Robison, Richard Ashby, University of Kansas (UNITED STATES)",89
"Shaler",89
"Ulrich; Scofield",89
"Westgate",89
"Cooper; Kennedy",88
"Cushman; Ponton",88
"Emilio Rolán",88
"J G Rich",88
"Ofer Gon",88
"Porter",88
"Ross P. Anderson",88
"Van Beneden, Pierre-Joseph",88
"Alan B. Shaw",87
"Fisher",87
"Frederick A. Coyle",87
"Guido Dingerkus",87
"James E. Carico",87
"Jindrich Roháček & Kevin N. Barber",87
"Roemer",87
"R. Turnbow",87
"Amy Sheldon",86
"Arcie L. McAlester",86
"Arthur P. Chadbourne",86
"Browne; Herrick",86
"Bryan S. Dyer",86
"Cam Gordon",86
"Ellisor",86
"Frank Montgomery Hull",86
"G. Lachmund",86
"Grace W. Barber",86
"Leckey, E",86
"Marcelo R. S. Melo",86
"McAlester",86
"Yasmeen Erritouni",86
"Danita Brandt",85
"Grady, Frederick Von Hoff, (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",85
"Joshua C. Dickinson, Jr.",85
"Kindle; Breger",85
"Longacre",85
"Sebastian Endrody-Younga",85
"Sprinkle, James T., University of Texas at Austin (UNITED STATES)",85
"Tonle Sap Expedition",85
"W. Wittmer",85
"Blome",84
"Dr. Rodolfo Ruibal",84
"Easton",84
"E.R. Hoebeke",84
"Fiona Kelly",84
"Kazuhiro Nakaya",84
"Madeleine Prangley",84
"Markus J. Martin",84
"Petru M. Băn&#259;rescu",84
"Sally L. Richardson, Wayne A. Laroche",84
"Scott D. Smyers",84
"Szalay, Fred, (CUNY), Hunter College (UNITED STATES)",84
"Cooper; Cooper",83
"Dick; Ross",83
"Eric Peavey",83
"Gray",83
"Hawle et Corda",83
"James H. Emerton",83
"Kenneth I. Miyata",83
"Leonard P. Schultz",83
"Peel, John S., Uppsala University (SWEDEN)",83
"Tshudy, Dale M.; Feldman",83
"Allison J. Shultz",82
"B. J. Zahuranec",82
"Chares R. Gougeon",82
"Debra Bennett",82
"Donald Baird",82
"James C. Trager",82
"J. Gibbs",82
"Lindblom, J1",82
"Miller; Youngquist",82
"M. Rodrigues",82
"Nancy Robertson",82
"RGZ",82
"Rieboldt, S",82
"Roger L. Kaesler",82
"(Walcott), Briggs",82
"Ash",81
"Budd, A",81
"Clarke",81
"Gayatri Sivalenka",81
"Henry; Gordon",81
"Heok Hee Ng",81
"Jesús A. Cruz López",81
"Kellett",81
"Murphy",81
"(Pribyl and Vanek",81
"R. Breedlove",81
"Robert A. Johnson",81
"Steven D. Emslie",81
"Tapan Sen Gupta",81
"Todd; Kniker",81
"A. A. E. Williams",80
"Brad C. Lister",80
"Conkin, J. E",80
"Connell",80
"DANIEL CHANG",80
"Gerstaecker",80
"H. Gregory McDonald",80
"Jeletzky",80
"Merrill",80
"Neal A. Weber",80
"Newell; Boyd",80
"Swain; Peterson",80
"Verrill, AE (via Gray Fund)",80
"Charles H. Blake",79
"Derby",79
"Dr. Nicolas Gompel",79
"Dumeril, Gabriel Bibron",79
"L. W. Swett",79
"Mark Goodwin",79
"Nell B. Causey",79
"Ralph W. Chaney party",79
"Savage",79
"Sohl, Norman F.; Kollmann",79
"Swain; Brown",79
"Alexandre B. Bonaldo",78
"Brower; Veinus",78
"Dean Hill, Martin H. Rittenhouse",78
"Ehlrich, PR",78
"Frederick S. Szalay",78
"Glenn L. Jepsen",78
"Rueppell",78
"Savannah Bryant",78
"Theodore B. Mitchell",78
"Wahlenberg",78
"W. Brewster",78
"William M. Mann",78
"Wilson",78
"Bramlette; Sullivan",77
"Charles J. Cole",77
"Chubb",77
"Jaroslav Perner",77
"John M. Aldrich",77
"John S. Clark",77
"KAY",77
"Matt Gage",77
"Raphael, Eva",77
"R. B. Manning",77
"Roger D. Thomas",77
"Schwimmer",77
"Winston; Nicholls",77
"Boucot; Harper",76
"Brouwers; Hazel",76
"Geyer; Landing",76
"Jones; Grantz",76
"Karsten E. Hartel, Chares R. Gougeon",76
"Kenneth E. Caster",76
"Rudy Jocqué",76
"Schwarz",76
"Simonetta",76
"Ausich Et Al",75
"Charles J. Maynard",75
"Cole; Gillespie",75
"Conkin, J. E.; Conkin, J. E.; Pike",75
"Donald E. Russell",75
"Han Nijssen",75
"Jesse Czekanski-Moir",75
"Karsten E. Hartel, Anne W. Everly",75
"Kjellesvig-Waering",75
"K. J. Hopp",75
"Michelle M. Barboza",75
"Penny Benson",75
"Resser, Charles E.; Endo",75
"Sebastien Lacau",75
"Torick, L",75
"Wells",75
"Andrew J. Penniman",74
"Chilman",74
"Elizabeth Roux",74
"H.K. Wallace",74
"Katherine M. Muzik",74
"Legacy - Collier, Frederick Joseph, Former Collections Manager (USNM), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",74
"Leon N. Lotz",74
"Mark A. Townley",74
"(Schmidt)",74
"Walter J. Rainboth",74
"Zeehan Jafaar",74
"Austin B. Williams",73
"Baars, D",73
"Carsten Schradin",73
"Claudio Soto-Azat",73
"D., B.",73
"Rachel Han",73
"Tappan Loeblich, Helen N.; Loeblich",73
"Turner, S.",73
"Ulrich; Foerste; Miller",73
"Axel Leonard Melander",72
"Gregory O. Vigle",72
"John Clark, James R. Beerbower",72
"John E. Randall",72
"Kevin W. Conway",72
"Marvin L. Wass",72
"Maude Baldwin",72
"Meek+Worthen",72
"Perlmutter; Todd",72
"Phelan",72
"Simpson",72
"Stumm, Erwin C.",72
"Virgil A. Brill, W. J. Brice",72
"William A. Clemens",72
"William N. Eschmeyer",72
"Andrew M. Spieker",71
"Boucot; Thompson",71
"Bruce B. Collette, Leslie W. Knapp",71
"Cecil H. Kindle, Harry Blackmore Whittington",71
"Cushman; Cederstrom",71
"Diana Silva D.",71
"Douglass F. Hoese",71
"Frush, P",71
"Goldfuss, Ludwig S. Schultze",71
"Hilke Ruhberg",71
"Hv, Meyer",71
"J. Andrew Kilmer",71
"J. J. Schneider",71
"Jonanthan I. Bloch",71
"Joseph A. Beatty",71
"Landing",71
"(Linnaeus)",71
"Marathon Oil Corporation",71
"Meyer",71
"Michael H. Horn",71
"Neuman",71
"Reizo Ishiyama",71
"R. E. Ruff",71
"(Salter)",71
"Shifflett, Elaine",71
"Simon D'haenens",71
"USNM Navassa Team",71
"Weist, WG Jr.",71
"A. Focarile",70
"Chia-Ching Wang",70
"Dr. Polly Campbell",70
"Herman F. Becker",70
"J. P. Guadanucci",70
"Larry Pallozzi",70
"Marian H. Pettibone",70
"P. David Polly",70
"Ricardo M.C. Castro",70
"Robert J. Barney",70
"Robert R. Dreisbach",70
"Tasch",70
"W. D. Maxwell, John H. Ostrom",70
"William J. Davis",70
"Zullo, Victor A., University of North Carolina at Wilmington (UNITED STATES)",70
"Amazonas Chagas, Jr.",69
"Bolyard, DW",69
"Carlo Emery",69
"Donna Nemeth",69
"Emile Bose",69
"Ernst Ehlers",69
"John Brown",69
"Nogan",69
"William J. Sinclair",69
"Bruce A. Thompson",68
"Clark; Shaw",68
"Eli M. Sarnat",68
"Forester",68
"Franz",68
"Franz Steindachner",68
"Harris; Bergstrom; Ethington; Ross",68
"Hermann August Hagen",68
"Norton",68
"Parsley, Ronald L., (TU), Tulane University (UNITED STATES)",68
"Robert H. Denison",68
"Walsh",68
"Andrew D. Williston, Karsten E. Hartel",67
"Bailey",67
"Garrett S. Glodek",67
"Goldfuss",67
"Hamlin",67
"Horace G. Richards",67
"Isabela Farfante Canet",67
"John F. Riva",67
"Karsten E. Hartel, Deborah A. Triant",67
"Kenneth R. McKaye, et al.",67
"Kristine Reilly",67
"L. Nesbitt",67
"Mannerheim",67
"Phillip P. Calvert",67
"(Raymond), Shaw",67
"Ronald C. Baird",67
"R Webb",67
"Sandberg; Ziegler",67
"S. Jillson",67
"Sweet; Bergstrom",67
"Bolli; Loeblich; Tappan Loeblich, Helen N.",66
"Calvin Goodrich",66
"Cloud",66
"Ernest Doane",66
"Gerald Case",66
"Marek",66
"Morris",66
"Oleg Petrov",66
"Rick Nemeth",66
"S. L. Straneo",66
"Stephen D. Cairns",66
"Ubaghs+Robison",66
"Willard",66
"ALEXANDRA J. DIEPHOLZ",65
"Anne H. Walton",65
"Carter; Churkin",65
"Darrel R. Frost",65
"Edwin A Cadena",65
"Eric Metz",65
"Jan",65
"Ludlow Griscom",65
"Owen",65
"Premoli, Cita",65
"Scott",65
"Sundberg; McCollum",65
"Tyler R. Lyson",65
"Wooldridge",65
"Albritton; Phleger",64
"Ashley Buell Gurney",64
"Dillon",64
"Dr. Dannie Hensley",64
"D.R. Groothuis",64
"Dumoulin; Harris",64
"Elwyn L. Simons",64
"Grant E. Meyer",64
"Harold E. Vokes",64
"Kennedy; Cobban; Gale; Hancock; Landman",64
"LN",64
"Oscar F. Francke",64
"Read",64
"Rebecca Parrish",64
"Stephen H. Felton",64
"Townes",64
"Barna, Peter",63
"Cleland",63
"Ernst Ahl",63
"Green, Walcott",63
"Jakob Vinther",63
"John A. Burger",63
"Jozef K. A. van Boven",63
"K. S. Tan",63
"Newberry",63
"Rigby; Maheshwari; Schopf",63
"Shusheng Hu",63
"Timothy A. Conrad",63
"Todd Jacobus",63
"August Frederick Foerste",62
"Bartenstein; Bettenstaedt; Bolli",62
"Bolton",62
"Bradshaw",62
"Emery",62
"Gordon; Yochelson",62
"James C. Cokendolpher",62
"Mudge; Yochelson",62
"Norwood+Owen",62
"Richards",62
"Robert Gebhardt",62
"Snyder; Mauger; Akers",62
"Theodor Mortensen",62
"Barrande/1872",61
"Craig C. Black",61
"Cushman; Hedberg",61
"Dr. Tilly Edinger",61
"Edgar Lehr",61
"Fischer",61
"Jones; Bailey; Imlay",61
"Kara Feilich",61
"Lintz",61
"Lund, SP, Steve",61
"Mark B. DuBois",61
"Myvanwy M. Dick",61
"Philip D. Gingerich, Dale A. Winkler",61
"Philip R. Uhler",61
"Radinsky, Leonard, (UC), University of Chicago (UNITED STATES)",61
"Renner Baptista",61
"Robert M. West",61
"SARAH WERNING",61
"Vince Roth",61
"William L. Bryant",61
"Anthony M. Deczynski",60
"Barrande/1842",60
"Bickert",60
"Buckman",60
"Corliss",60
"Dino J. Martins",60
"D.L. Wagner",60
"Elder; Box",60
"Eschmeyer Cat. of Fishes",60
"H. L. Willis",60
"James T. Sprinkle, Raymond C. Gutschick",60
"J. Kreuter, 1971",60
"John K. Galbraith",60
"J. P. Bogart",60
"Mark Liu",60
"Miller; Youngquist; Collinson",60
"Orndorff",60
"Paul E. Olsen, Donald Baird",60
"Paul L. Brenckle",60
"P.M. Johns, v.1967",60
"Rambur",60
"Rehn",60
"Robert L. Dorit",60
"Robert R. Rowley",60
"Robert W. Taylor",60
"Sartenaer, Paul, Institut royal des Sciences naturelles de Belgique (BELGIUM)",60
"Twila Bratcher",60
"(Walcott",60
"Wyatt Gilbert",60
"C. David Frailey",59
"Charles Brown IV",59
"Finney",59
"Geoff Moser, Morgan S. Busby",59
"Gerard R. Case, Henri Cappetta",59
"Laura G. Emmert",59
"Marco Antonio Ribeiro Jr.",59
"Olga Hartman",59
"Orlando H. Garrido, Albert Schwartz, Jr.",59
"Reagan",59
"R. Forster, 1956",59
"Robertson, Richard",59
"Siobhán B. Cooke",59
"Anders Warén",58
"Anselmo Peñas",58
"Browne; Baxter; Roberts",58
"Buzas",58
"Carlos Leiva Martínez",58
"Cushman; Cahill",58
"Haas, Werner, Bull",58
"Hans Ho",58
"Jeffery Et Al",58
"JILL A. HOLLIDAY",58
"Lina Almeida",58
"National Museum of Natural History, Smithsonian Institution",58
"R. W. Rust",58
"Schuchert; Maynard",58
"Thomas Preston Webster III",58
"William H. Krueger",58
"Willis W. Tyrrell",58
"Beckmann",57
"Bruton; Whittington",57
"Charles D. Walcott",57
"Cobban, WA",57
"Dan Proud",57
"GCM",57
"Gries, Robbie",57
"Haug, C.",57
"J. Lommel",57
"Johnson; Trojan",57
"Jones; Murphy; Packard",57
"Luis F. Armas",57
"Mamay, Sergius H.; Mapes",57
"McEwan",57
"Metcalf",57
"Morris; Douglass; Kopf",57
"Riva, John",57
"Roland Gangloff, Dr. Anthony Fiorillo",57
"S. Galli",57
"Shaw, Chris",57
"Vincent, Jerry",57
"Boardman; McKinney",56
"Boris A. Sheiko",56
"BRADY",56
"Bridge; Girty",56
"Cushman; Herrick",56
"E. R. Rodriguez",56
"Eshelman",56
"Gravell",56
"Hendrik Mueller",56
"Josephus Nicolaus Laurenti",56
"Karsten E. Hartel, Marc A. Raila",56
"Ludwig S. Schultze",56
"Matthew",56
"Robert Rush Miller",56
"Sabrina M Walsh",56
"Salter",56
"Scott M. Moody",56
"Skipp, Betty A.; Baesemann; Brenckle",56
"St.John, Orestes",56
"Theodore Downs",56
"Whitehead",56
"Aaron Moore Bagg",55
"A. E. Blagg",55
"Brenckle; Marchant",55
"Conkin, J. E.; Bratcher; Conkin, J. E.",55
"Cushman; Henbest",55
"Daleon, Ben",55
"Frederic G. Carnochan",55
"George Oeh",55
"Gordon Hubbell",55
"Karsten E. Hartel, David B. Halliwell",55
"LeClercq",55
"Lynne R. Parenti",55
"Mark Rowland",55
"P. J. van Helsdingen",55
"Reichardt",55
"Richard L. Hoffman",55
"Scott; Cobban; Merewether",55
"William J. Clench",55
"Yves Bousquet",55
"Adam T. Halamski",54
"Alton T. Straub",54
"Ana Riesgo",54
"Augustus R. Grote",54
"Brodzinsky",54
"(Clark)",54
"Daniel Goncalves de Freitas",54
"E. V. Thompson",54
"Fay",54
"Hanna, G. S.",54
"Horton H. Hobbs, Jr.",54
"Ident. R. Tripp",54
"Imbrie",54
"John H. Caruso",54
"John M. Clarke",54
"Karla Soares",54
"(Lyon+Casseday)",54
"Phil Brease",54
"P. L. G. Benoit",54
"Ross A. Sadlier",54
"S. C. Williams",54
"Stejneger",54
"W. O. Addicott",54
"Allen",53
"Cheetham; Hakansson",53
"Cushman; Laiming",53
"Dorreen",53
"Enrico Schwabe",53
"F. Lyman",53
"GKoehler",53
"James Baichtal",53
"Julia A. Clarke",53
"Jung",53
"Krombein",53
"Leslie W. Knapp",53
"Robert J. Kallal",53
"Robin Hadlock Seeley",53
"Smith; Buzas",53
"Thomas L. Adams",53
"Tiago Quental",53
"ULRICH, BASSLER",53
"Voorhies",53
"Andrew R. C. Milner",52
"Busanus; Hoare",52
"C. E. Mickel",52
"Christian Klug",52
"(Conrad), Warren D. Allmon",52
"Cushman; Waters",52
"E/V Nautilus-092, Ocean Exploration Trust",52
"F.E. French",52
"Finks",52
"George Washington Verrill",52
"Hoare; Heaney; Mapes",52
"Ivo M. Karaman",52
"Jim Clough",52
"Lankford",52
"Madeline Duppenthaler",52
"Mallory",52
"Odalisca Breedy",52
"Pedro J. Bermúdez",52
"Peter M. Galton",52
"Phillips",52
"P. Humphry Greenwood",52
"Pictet",52
"Rebeca Granja-Fernandez",52
"S. David Webb",52
"Sidney I. Smith",52
"Stewart",52
"Abel Pérez-González",51
"Adegoke",51
"Ana Lucia Tourinho",51
"Charpentier",51
