"identifiedBy","reps"
"Dixon, Raymond B. Huey",227
"Gerald R. Allen, Steve Bailey",227
"M. Tandy",227
"Phleger",227
"Judy D. Weinstein",226
"M.P. Fahey",225
"Stevens, CH",224
"Whitfield",224
"Charles Karnella",223
"Cockerell",223
"Cushman; Stewart; Stewart",223
"Geological Enterprises, Inc.",223
"N. Haddad",223
"Robert J. Lavenberg",223
"Reginald H. Howe Jr.",222
"Daniel A. Driscoll, Alexander M. Dunhill, Thomas L. Stubbs, Michael J. Benton",221
"Hughes",221
"Alison Ravenscraft",220
"H.L. Stahnke",219
"Raymond",219
"Todd; Bronnimann, Paul",219
"Berdan, Jean M.",218
"Bolli",218
"Stephanie C. Madden",218
"Dr. Robert F. Inger",217
"Pavitra Muralidhar",217
"Bagg",216
"F. Lobo",216
"Glenn",216
"Hoare",216
"Michael Veit",216
"Armstrong",215
"George C. Champion",215
"Said; Kenawy",215
"Dr. Ian J. Glasspool : The Field Museum of Natural History",214
"Richard D. Worthington",213
"Arnaud, H",212
"GREGORY K. PREGILL",211
"John M. Berdan",210
"Timothy W. Stanton",209
"Tyler",209
"Elliott, Edward",208
"Dmitri V. Logunov",206
"John R. Gealy",206
"Richard P. Vari",206
"LBF",205
"E. Richard Hoebeke",204
"Beall; Ellinwood",203
"Conkin, J. E.; Conkin, J. E.; Canis",203
"M. Dakin",203
"Thomel, Gerard R.",203
"Carl Gans",202
"Kindle",202
"Muir-Wood, H. M.; Cooper",202
"Hobart Muir Smith, David Chizar, K. Tepedelen, F. van Breukelen",201
"Uchio, Takayasu",201
"Ward",201
"Alain Vadet",200
"A. C. Dyke",199
"Albert E. Wood",199
"Jeremy Reiskind",199
"Osborn",199
"Yen",199
"Cary R. Easterday",198
"George G. Simpson",198
"Hu",198
"Mark Amidon Deyrup",198
"Ardis Johnston",197
"Claire Dufour",197
"Cole; Applin",197
"Perrilliat, Maria del Carmen, Universidad Nacional Autonoma de Mexico (MEXICO)",197
"Karsten E. Hartel, Andrew D. Williston",196
"Cushman; Parker",195
"Frank H. McLearn",195
"Kaufman",195
"Webster, Kevin",195
"Floyd F. Sabins",194
"George S. Hume",194
"Hambach",194
"Johnson; Boucot; Murphy",193
"Mr. Jack Kallmeyer",193
"ROBERTS",192
"Jennifer E. Bauer",191
"Ruedemann, Rudolf",191
"Edward Oskar Schmidt",190
"Elder, W2",190
"McKinney",190
"Ross; Berry",190
"(Schlotheim)",190
"Padre Francisco S. Pereira",189
"Robert F. Damon",189
"Emmrich",188
"L.R. Watkins",188
"Alfred C. Kinsey",186
"Gita S. Bodner",185
"Harris",185
"James, Aryanna",185
"Lane; Ormiston",185
"Leidy",185
"Jonathan B. Losos",184
"Sprinkle+Gutschick",184
"Georgia Shelton",183
"H. Bradley Shaffer",183
"Kristin E. Blake",183
"Alexander V. Dantchenko",182
"Norman Brown",182
"CRC",180
"M. B. Geyer",180
"Platnick, Duperre, Ott, Kranz-Baltensperger",180
"Pojeta, John; Runnegar, Bruce N.",180
"Jeffery Leis",179
"Samuel E. Cassino",179
"Scott R. Shaw",179
"Wolfe, Jack A., (USGS-D), U.S. Department of the Interior (UNITED STATES)",179
"Brett-Surman, Michael K., Museum Specialist / Dinosaurs (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",178
"Alexis S. Harrison",177
"Nathan Banks",177
"Smith, D, Dena",177
"Thomas Barbour, Benjamin Shreve",177
"Bruce S. Lieberman",176
"James Lamsdell",176
"Nuttall",176
"Purdy Et Al",176
"ULRICH",176
"Bernhard Kummel",175
"Grady",175
"J.R. Maudsley",175
"Kira Treibergs",175
"Paulo E. Vanzolini",175
"William B. Berry",175
"Dr. Eugene S. Richardson Jr : Field Museum of Natural History",174
"Holden",174
"Martin, Charles",174
"Glenn W. Storrs",173
"Kenneth J. Sulak",173
"Muenster",173
"Rosa Fernández",173
"Dr. Weston Opitz",172
"Frank M. Carpenter",172
"Linda W. Porter",172
"Margaret G. Bradbury",172
"Clark; Martin, Charles",171
"Kennedy Et Al",171
"Paul E. Olsen",171
