"class","reps"
"Xiphosura",2
"Xiphosurida",2
"Zygomycetes",2
"Acantharea",1
"Actinomycetes",1
"Agaricomycetes",1
"Anseriformes, Falconiformes",1
"Arthropoda",1
"Artiopoda",1
"Ascidea",1
"Asteridae",1
"Bacillariophyacea",1
"Basommatophora",1
"BIvalvia",1
"Bivalvoa",1
"Bivlavia",1
"Camerata",1
"Carpoidae",1
"Chaetetida",1
"Chareae",1
"Chondrichthys",1
"Ciliatea",1
"Cirripedia incertae sedis",1
"Clupeiformes",1
"Clypeastoida",1
"Cnidaria Class incertae sedis",1
"Coenopteridopsida",1
"COLLEMBOLA",1
"Conoidasida",1
"Cornucarpaceae",1
"Creodonta",1
"Crinoidaea",1
"Crocodilia",1
"Cryptomya",1
"Cyanophyta",1
"Cyanopsida",1
"CYCLOCYSTOIDEA",1
"Dasycladophyceea",1
"Dicotyledoneae",1
"DICTYLEDONAE",1
"Dictyochophyceae",1
"Dinocerata",1
"Diplacophora",1
"Dothideomycetes",1
"Echiniodea",1
"Echinodea",1
"Echinoidae",1
"Echinoidea?",1
"Esociformes",1
"Eurotiomycetes",1
"Eutardigrada",1
"Euthycarcinoida",1
"FISH INVERT",1
"Galeaspida",1
"Gasterosteiformes",1
"?Gastropoda?",1
"Gnathostomata",1
"Goniatitida",1
"Gorgonacea",1
"Graptolithinia",1
"Gymnolaemata?",1
"Gymnospermosida",1
"Hepaticeae",1
"Heterodonta",1
"Heterostropha",1
"Hoplonemertea",1
"Hybodontiformes",1
"Hydroidea",1
"Ichnites xiphosura",1
"INARTICULATA",1
"Isopoda",1
"Larvacea",1
"Lepisosteiformes",1
"Liliopsida?",1
"Lingulida",1
"Machaerida",1
"Magnioliopsida",1
"mammal indet.",1
"Mesomycetozoa",1
"Milleporina",1
"Monocyathea",1
"Monoplacophora?",1
"MONOPLACOPHORA",1
"Multituberculata",1
"Musci",1
"Myriapoda?",1
"Mytilida",1
"Myzostomaria",1
"Nassellaria",1
"Nassellarida",1
"Notoungulata",1
"Ophiocistioidea",1
"Ophiuroidea?",1
"Osteichthyes G",1
"Osteoglossiformes",1
