"family","reps"
"Mactromyidae",975
"Periechocrinidae",975
"Heliolitidae",974
"Palinuridae",973
"Partulidae",973
"Costellariidae",972
"Uvigerinidae",971
"Anguillidae",970
"Monticuliferidae",968
"Ophiolepididae",968
"Cidaridae",966
"Goniatitidae",965
"Crambidae",963
"Macrouridae",960
"Nonionidae",960
"Mylagaulidae",955
"ASTARTIDAE",954
"Syrphidae",954
"Cerambycidae",952
"PLANORBIDAE",948
"Corinnidae",945
"Auloporidae",941
"Batostomellidae",941
"Eatoniidae",941
"Drepanophycaceae",939
"Poeciliidae",939
"Sclerosomatidae",939
"Emporiaceae",929
"Thraupidae",928
"Palaeoryctidae",925
"Holothuriidae",922
"Tytonidae",922
"Esocidae",920
"Mordellidae",920
"Hysterolitidae",919
"Truncatellidae",918
"Baenidae",917
"Vermetidae",917
"Textulariidae",908
"Endoceratidae",907
"Moresnetiaceae",907
"Holasteridae",906
"Scopelarchidae",903
"Hydrobatidae",902
"SOLECURTIDAE",899
"Triphoridae",899
"Waptiidae",899
"Apheliscidae",898
"Tropidoleptidae",896
"Radiolitidae",890
"Cercidiphyllaceae",888
"Dolichopodidae",884
"Platysternidae",882
"GRYPHAEIDAE",880
"Haemulidae",880
"Ophioglossaceae",880
"MITRIDAE",879
"Olivellidae",879
"Acropomatidae",877
"Spiriferellinidae",870
"NUCULIDAE",866
"Pyralidae",866
"Moraceae",864
"Anoplothecidae",861
"Schwagerinidae",860
"Hippolytidae",858
"Agassizocrinidae",857
"Astylospongiidae",856
"Pterinopectinidae",851
"Meristidae",850
"Mutillidae",850
"Trigoniidae",846
"Mormoopidae",845
"UNGULINIDAE",843
"Dentaliida",841
"Sphenacodontidae",839
"Ophidiidae",836
"Arcticidae",834
"Pompilidae",832
"Gaviidae",831
"Ungulinidae",831
"Spondylidae",829
"Oxyopidae",827
"Bathylagidae",824
"Cornaceae",824
"Nileidae",824
"Serrivomeridae",824
"Ariophantidae",823
"Echinocarididae",823
"Spiraculata",817
"Raphistomatidae",816
"PHOLIDOPHORIDAE",815
"Amplexoporidae",811
"Callianassidae",811
"Eulimidae",811
"Orthotetidae",811
"Syngnathidae",810
"Pelomedusidae",807
"Leptostrophiidae",804
"Vitrinidae",804
"Fundulidae",802
"Permophoridae",800
"Rhabdodermatidae",800
"Ovulidae",798
"Coelocrinidae",797
"POTAMIDIDAE",795
"Cibicididae",791
