"order","reps"
"Poecilostomatoida",39
"SACOGLOSSA",39
"Stylasterina",39
"Thelodontida",39
"Allogastropoda",38
"Anaspida",38
"Atremata",38
"Carchariniformes",38
"Cyclopoida",38
"Dactylochirotida",38
"HIPPURITOIDA",38
"Lepidocoleomorpha",38
"Naviculales",38
"Ophioleucida",38
"Thysanoptera?",38
"Blattida",37
"Linales",37
"Marsileales",37
"Psocodea",37
"Rhizostomeae",37
"Trigonotarbida",37
"Ajacicyathida",36
"Arguloida",36
"Crossognathiformes",36
"Lecythidales",36
"Cowiedesmida",35
"FALCONIFORMES",35
"Invertebrate Order incertae sedis",35
"Lobotiformes",35
"Phanerosteiformes",35
"Pholadomyida",35
"undefinable",35
"Zosterophyllales",35
"Climatiformes",34
"Drepanophycales",34
"Edaphosauria",34
"Eugeneodontiformes",34
"ISOPODA",34
"Polygonales",34
"Porocephalida",34
"Thalattosuchia",34
"Tintinnina",34
"Comarocystitida",33
"Embioptera",33
"Gastropoda Order incertae sedis",33
"Harpetida",33
"Pediomyidae",33
"Platycystitida",33
"Prolecanitida",33
"Rhizocephala",33
"Seymouriamorpha",33
"SPIROBOLIDA",33
"CRYPTOSTOMIDA",32
"HOLASTEROIDA",32
"Lepidopleurina",32
"Nektaspida",32
"PANTODONTA",32
"Platydesmida",32
"Reptiliomorpha",32
"Spirophorida",32
"Crossosomatales",31
"Helioporacea",31
"Lepidoptera?",31
"Pennales",31
"Polycladida",31
"PRODUCTIDA",31
"Cyathocrinida",30
"Eutriconodonta",30
"Fenestellida",30
"Lysorophia",30
"Morganucodonta",30
"Myodocopida",30
"Palpigradi",30
"Platyasterida",30
"Salenoida",30
"Siphonotretida",30
"Spumellarida",30
"Symmoriiformes",30
"Aspidodiadematoida",29
"Cyrtoneritimorpha",29
"GONIATITIDA",29
"Gonorynchiformes",29
"Gorgonacea",29
"ICHTHYORNITHIFORMES",29
"Milleporina",29
"Pristiophoriformes",29
"Scalpelliformes",29
"Symmetrodonta",29
"Tenrecoidea",29
"Ammonitina",28
"Belemnoidea",28
"Craterostigmomorpha",28
"Dinosauria",28
"Errantida",28
"Harpacticoida",28
"incertae sedis",28
"Keratosa",28
"Limida",28
"Pleurobranchomorpha",28
"Streptosclerophorida",28
"Tommotiida",28
"Acrothoracica",27
"ARCHAEOPULMONATA",27
"Cidaroidea",27
"CLADIDA",27
"Geraniales",27
"Lycopodiales",27
"Osteolepidida",27
"Parareptilia",27
"TAENIODONTIA",27
"Trimerophytales",27
"Anagaloidea",26
"Archaeospicularia",26
"Biddulphiales",26
"Blechnales",26
"Caeongastropoda",26
"Echinolampadoida",26
"Helcionellida",26
"Heteroptera",26
"Notaspidea",26
