"specificEpithet","reps"
"heterophylla",585
"ohioensis",585
"ADAMSI",584
"decussata",582
"excavata",582
"gibbosus",582
"vaderensis",581
"menardii",580
"fulgens",579
"claviger",578
"dubius",578
"rusticus",578
"gidleyi",577
"plicatella",577
"radians",577
"falconensis",575
"lemniscatus",575
"matthewi",575
"pittsburgensis",575
"spinoletta",575
"strigosa",575
"granulatus",574
"gyrina",574
"jacksboroensis",573
"microlophus",573
"militaris",573
"muscorum",573
"robinae",573
"WHITEI",573
"angustus",572
"breweri",572
"CONRADIANA",572
"mercenaria",572
"noveboracensis",572
"fasiculatus",571
"PRECURSOR",571
"rex",571
"imperialis",570
"LIENOSA",570
"bohemicus",569
"gibbus",569
"melanocephalus",569
"moerens",568
"robustum",568
"sublamellosa",568
"castaneus",567
"caudacutus",567
"dubium",567
"obliqua",567
"vulpes",567
"jacksonensis",566
"speirianus",565
"stantoni",565
"agassizi",564
"appendiculata",564
"hecabe",564
"hendersoni",564
"ruticilla",564
"matheri",563
"ziczac",563
"arcticus",562
"siphonifera",562
"uvasana",562
"rugosum",561
"lima",560
"QUADRATA",560
"adamsi",559
"compressum",559
"DOWNEYAE",559
"incompleta",559
"daira",558
"packardi",558
"cyclopterus",557
"floricola",557
"listeri",557
"punctulata",557
"elachyhistus",556
"macroura",556
"arcuaria",555
"burkei",555
"cafer",555
"crenatus",555
"personatus",555
"riparia",555
"phenax",554
"beecheyi",553
"rupinarum",553
"lapponicus",551
"porterensis",551
"elpenor",548
"unita",548
"walcotti",548
"claibornensis",547
"dispar",547
"leucocephala",546
"spissa",546
"catesbeianus",545
"cuprarium",545
"expansa",544
"luridipennis",544
"peregrina",544
"mabouia",542
"scitulus",542
"furlongi",541
"spicata",541
"aserva",539
"lanceolata",539
"solida",539
"trivolvis",539
"capillata",538
"cedrorum",538
"gracilenta",538
"EMMONSI",537
"sipedon",537
"turgida",537
"marylandica",536
"scriptus",536
"nodosa",534
"polyglottos",534
"tigrina",534
"mentalis",533
"powelli",533
"schreibersi",533
"manatus",532
"RHECTOGRAMMICUS",532
"semilineatus",532
"eurystyle",531
"martini",531
"taylori",531
"henryi",530
"sayana",530
"tinctum",530
"antarcticus",529
"articulatus",529
"bairdii",529
"marginalis",529
"zelus",529
"contracta",528
"gravis",528
"gemellarii",527
"incisa",527
"onca",527
"resplendens",527
"subovata",527
"trinuclea",526
"aculeus",525
"desertorum",525
"primaevus",525
"atricucullaris",523
"calendula",523
"loomisi",523
"perrini",523
"sculptior",523
"argentatus",522
"enoptes",522
"formicivorus",522
"parvifrons",522
"ferruginea",521
"glaucus",521
"WILLCOXI",521
"punctatum",520
"truncatum",520
"nigroocellatus",518
"PENSYLVANICA",518
"bulbosa",517
"forbesi",517
"pseudoponceleti",517
"recta",516
"garmani",515
"hispida",515
"longicauda",515
"pumila",515
"oxyrhynchus",514
"rafinesquii",514
"alternatus",513
"planicosta",513
"invicta",512
"browni",511
"clausa",511
"hamiltoni",511
"littorea",511
"neoniger",511
"tigris",511
"pennatus",510
"smaragdinus",510
"virgata",510
"argenteus",509
"veterior",508
"acutilirata",507
"insculpta",507
"mustelina",507
"OSTREARUM",507
"angularis",506
"CORONA",505
"crenulata",505
"gulosus",505
"arata",504
"plumbea",504
"velata",504
"vittata",504
"vociferus",504
"occipitalis",503
"parvulus",503
"sp 2",503
"universa",503
"arabica",502
"distans",502
"lepidus",502
"incerta",501
"richmondensis",501
"andersoni",500
"bewickii",500
"symmetrica",500
"achatinus",499
"corrugatus",499
"parkeri",499
"taaningi",499
"woollgari",499
"fasciola",498
"jacksoni",498
"margaritifera",498
"perryvillensis",498
"concinnus",497
"leucophyllata",497
"lincolnensis",497
"lucidus",496
"manni",496
"elliotii",495
"hookense",494
"salmoides",494
"AREOLATA",493
"heros",493
"limnocharis",493
"arenosus",492
"interrupta",491
"magarra",491
"nitidulum",491
"palmeri",491
"groenlandica",490
"QUADRICOSTATA",490
"arnoldi",489
"flabellites",489
"thomasi",489
"powellianus",488
"superbus",488
"washitensis",488
"barrandei",487
"herculeanus",487
"lemkei",487
"berryi",486
"macularia",486
"pustulatus",486
"stokesi",486
"vaughani",486
"atra",485
"REGINA",485
"neotericus",484
"sonomensis",484
"sphaerulata",484
"wellesi",484
"concentricus",483
"subglobosa",483
"taeniatus",483
"thyroidus",483
"brunnea",482
"glacialis",482
"innominatum",482
"spedeni",482
"COMPRESSIROSTRA",480
"cumberlandensis",480
"densiventris",480
"frontalis",480
"propinetis",480
"vorax",480
"aurocapillus",479
"eximia",479
"gryllus",479
"oxyrinchus",479
"reclusiana",479
"anomala",478
"asperum",478
"aurita",478
"flammeus",478
"exsul",477
"gaussi",477
"lobatus",477
"pardalis",477
"zebra",477
"bartschi",476
"damesii",476
"norvegicus",476
"lucifugus",475
"albus",474
"COMMUNIS",474
"megamorpha",474
"penelope",474
"carbonarius",473
"insularis",473
"triangulata",473
"ampla",472
"maxwelli",472
"miocenica",472
"singularis",472
"dunkardensis",471
"russelli",471
"sp nov",471
"cf. T. recedens",470
"plumbeus",470
"integra",469
"nebulosa",469
"savannarum",469
"formosus",468
"heterostropha",468
"rissoi",468
"LOCKLINI",467
"lubrica",467
"minusculus",467
"signatus",467
"antarctica",466
"campechiensis",466
"conanti",466
"flexuosa",466
"lygdamus",466
"maculosa",466
"spectabilis",466
"imparis",465
"acinus",464
"angustidens",464
"LUNATA",464
"miniatus",464
"quinqueloba",464
"tanneri",464
"bentonensis",463
"mitra",463
"perfecta",463
"ROBUSTUM",463
"ruficapilla",463
"forficatus",462
"inconstans",462
"fuscatus",461
"leucotis",461
"SPURIUS",461
"anna",460
"scotti",460
"valens",460
"ameiva",459
"brachycnemis",459
"splendidus",459
"dentalis",458
"dentatum",458
"gibba",458
"JASPIDEUS",458
"multisecta",457
"mutus",457
"TAMIAMIENSIS",457
"chloris",456
"irrorata",456
"angulifera",455
"fulva",455
"madisonensis",455
"osbornianus",455
"smithii",455
"WILMINGTONENSIS",455
"insulatus",454
"macrota",454
"psaltria",454
"sp. indet.",454
"abbotti",453
"cinerascens",453
"discors",453
"discus",453
"agama",452
"alpina",452
"AUSTRALIS",452
"brachycephalus",452
"spurius",452
"davidsoni",451
"lewisii",451
"lincolnii",451
"keokuk",450
"monax",450
"rubinus",450
"typa",450
"billingsi",449
"hyalina",449
"planus",449
"platyceps",449
"tuberosus",449
"APICINA",448
"HENDLERI",448
