"index.order","reps"
"porolepiformes",44
"trepostomida",44
"arales",43
"embrithopoda",43
"pyramidellimorpha",43
"pyramimonadales",43
"rhizodontiformes",43
"symmoriida",43
"cucurbitales",42
"hymenophyllales",42
"petalichthyida",42
"polemoniales",42
"polyxenida",42
"rangeomorpha",42
"mesonychia",41
"poecilostomatoida",41
"zygopteridales",41
"archaeocopida",40
"brachypoda",40
"canadaspidida",40
"cephalaspida",40
"coenopteridales",40
"fragilariales",40
"russulales",40
"archinacellida",39
"eurypygiformes",39
"polymastiida",39
"thelodontida",39
"allogastropoda",38
"anaspida",38
"cete",38
"dacryoconarida",38
"lepidocoleomorpha",38
"stromboidea",38
"thysanoptera?",38
"schwagerinida",37
"trigonotarbida",37
"alepocephaliformes",36
"arguloida",36
"eucommiales",36
"linales",36
"myricales",36
"neritomorpha",36
"polycladida",36
"ptycholepiformes",36
"trachymedusae",36
"xiphosura",36
"ajacicyathida",35
"diplostomida",35
"invertebrate order incertae sedis",35
"phanerosteiformes",35
"protodonata",35
"undefinable",35
"zosterophyllales",35
"zygodiscales",35
"climatiformes",34
"drepanophycales",34
"edaphosauria",34
"eugeneodontiformes",34
"lophiformes",34
"platydesmida",34
"rheiformes",34
"tintinnina",34
"acanthuriformes",33
"coccosphaerales",33
"comarocystitida",33
"embioptera",33
"galeomorpha",33
"harpetida",33
"hypoperlida",33
"palpigradi",33
"pediomyidae",33
"platycystitida",33
"prolecanitida",33
"seymouriamorpha",33
"nektaspida",32
"orchocladina",32
"pleurobranchomorpha",32
"reptiliomorpha",32
"aeschronectida",31
"cavibelonia",31
"fenestrata",31
"lepidoptera?",31
"limnomedusae",31
"pennales",31
"platyasterida",31
"pseudoscourfieldiales",31
"rhytismatales",31
"siphonotretida",31
"streptosclerophorida",31
"strongylida",31
"thalassiosirales",31
"aspidodiadematoida",30
"astigmata",30
"bdelloidea",30
"ceramiales",30
"cyathocrinida",30
"diatrymiformes",30
"eutriconodonta",30
"kentrogonida",30
"morganucodonta",30
"spumellarida",30
"symmoriiformes",30
"achnanthales",29
"calycina",29
"cantharellales",29
"cyrtocrinida",29
"cyrtoneritimorpha",29
"gnetales",29
"polygonales",29
"pristiophoriformes",29
"protomonaxonida",29
"raphidiodea",29
"symmetrodonta",29
"trachichthyiformes",29
"ammonitina",28
"ascaridida",28
"belemnoidea",28
"imparidentia",28
"protobranchia",28
"tommotiida",28
"anaspidacea",27
"bryales",27
"canellales",27
"dinosauria",27
"gastropoda order incertae sedis",27
"melosirales",27
"najadales",27
"proteutheria",27
"taeniodontia",27
"tetraphyllidea",27
"triceratiales",27
"trimerophytales",27
"velatida",27
"archaeospicularia",26
"clathrinida",26
"parareptilia",26
"tricladida",26
"apterygiformes",25
"ardeiformes",25
"asteroxylales",25
"chelodida",25
"flosculariaceae",25
"heteroptera",25
"lepidopleurina",25
"orthoptera?",25
"pleuracanthodii",25
"stannomida",25
"apogastropoda",24
"cladoxylales",24
"deltatheroida",24
"forcipatulida",24
"invert trace",24
"keratosida",24
"osteolepidida",24
"solemyida",24
"sphenodonta",24
"spongiomorphida",24
"thysanura",24
"anabantiformes",23
"bacillariales",23
"echiniscoidea",23
"heliotilida",23
"leanchoiliida",23
"leptosomiformes",23
"miskoiida",23
"palaeanodonta",23
"psammodontiformes",23
"spirurida",23
"thalattosuchia",23
"agnostia",22
"blattida",22
"captorhinomorpha",22
"echinorhynchida",22
"gorgonacea",22
"pedinoida",22
"prolecithophora",22
"proteocephalidea",22
"sarcinulida",22
"sclaractinia",22
"scrophulariales",22
"spalacotherioidea",22
"tethyida",22
"tuboidea",22
"typhales",22
"ampelocrinida",21
"architarbida",21
"blattodea?",21
"chlamydomonadales",21
"hymnoptera",21
"lepetellida",21
"mantodea",21
"narcomedusae",21
"peripodida",21
"testudinata",21
"arthropleurida",20
"ascocystitida",20
"conchyliocarida",20
"desmacellida",20
"ichthyostegalia",20
"ophioleucida",20
"rhabditida",20
"trebouxiales",20
"ungulata",20
"biddulphiales",19
"brisingida",19
"caeongastropoda",19
"callistophytales",19
"cheloniellida",19
"chrysomonadales",19
"kurtiformes",19
"mamm coprolite",19
"marsileales",19
"opisthocomiformes",19
"reculida",19
"sarcomastigophora",19
"stereospondyli",19
"zygophyllales",19
"acrothoracica",18
"astrophorida",18
"clymeniida",18
"glomeridesmida",18
"lithornithiformes",18
"onsicomorpha",18
"orodontiformes",18
"pantopoda",18
"phthiraptera",18
"poromyida",18
"tenrecoidea",18
"therocephalia",18
"amblyopsiformes",17
"beyrichicopida",17
"edrioasterida",17
"holocentriformes",17
"involutinida",17
"lituitida",17
"meganisoptera",17
"sphaerocarpales",17
"t.o.m.e.g.",17
"acercostraca",16
"araneae?",16
"archaeopterygiformes",16
"batoidei",16
"coelolepida",16
"commelinales",16
"corallimorpharia",16
"dentalida",16
"edentate indet.",16
"euselachii",16
"glomerales",16
"hypnales",16
"insectivore? indet.",16
"mucorales",16
"nautiloidea",16
"polymorphida",16
"ribeirioida",16
"stylasterina",16
"allogromiida",15
"apotheria",15
"archaeosporales",15
"dictyochales",15
"digenea",15
"echinoderma",15
"fucoidia",15
"gorgonopsia",15
"hiodontiformes",15
"limida",15
"limulavida",15
"pholadomyida",15
"prosobranchia order incertae sedis",15
"pteridales",15
"sapotales",15
"trichoptera?",15
"turritellidae",15
"[unassigned]pulmonata",15
"variacata",15
"archaeorthoptera",14
"arctostylopida",14
"argentiniformes",14
"bauriamorpha",14
"cardiida?",14
"cheirolepidiales",14
"errantida",14
"gigartinales",14
"helcionellida",14
"odontopterygiformes",14
"ophiacodontia",14
"phyllolepida",14
"ptychopariina",14
"redfieldiiformes",14
"styliolinida",14
"trichocephalida",14
"tubulidentata",14
"umbellales",14
"waterstonellidea",14
"zygnematales",14
"acoela",13
"anarcestida",13
"archaeognatha",13
"cariamiformes",13
"ceriantharia",13
"dryopteridales",13
"glosselytrodea",13
"granatocrinida",13
"oocystales",13
"pelagiellida",13
"placodontia",13
"saurichthyiformes",13
"sparassodonta",13
"taeniocradales",13
"tylenchida",13
"welwitschiales",13
"apygophora",12
"archosauromorpha",12
"cheirolepiformes",12
"colpomyida",12
"cryptonemiales",12
"dictyoptera",12
"enteropneusta",12
"entomobryomorpha",12
"euonycophora",12
"eutheria",12
"gigantopteridales",12
"goniactinida",12
"homosclerophorida",12
"ichnites (theropoda)",12
"ichnofossil",12
"kirengellida",12
"leclerqiales",12
"lecythidales",12
"matatiellales",12
"nostocales",12
"paleoloricata",12
"perleidiformes",12
"phyllocarida",12
"pleurogona",12
"rhizosoleniales",12
"rutales",12
"theriiformes",12
"trilophosauria",12
"?",11
"anthacosiacea",11
"ateleopodiformes",11
"chondrillida",11
"cladocera",11
"climatiida",11
"crocodyliformes",11
"dickinsoniida",11
"dipnoiformes",11
"filcales",11
"lobata",11
"menaspiformes",11
"mermithida",11
"microbiotheria",11
"milleporina",11
"neochoristodera",11
"notaspidea",11
"opisthobranchia",11
